"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"50","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","I2C4_SMBA","I2C1_SDA","TIM8_CH2","TIM1_BKIN","USART2_TX","","","","","","SAI1_FS_B","","EVENTOUT"
"51","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM8_CH1","","I2C1_SCL","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_RX","UART4_DE/UART4_RTS","TIM1_BKIN","","FDCAN3_TX","","HRTIM1_FLT2","TIM2_ETR","EVENTOUT"
"52","PC10","I/O","","","","","","","TIM8_CH1N","UART4_TX","I2S3_CK/SPI3_SCK","USART3_TX","","","","","","HRTIM1_FLT6","","EVENTOUT"
"53","PC11","I/O","","","","","","HRTIM1_EEV2","TIM8_CH2N","UART4_RX","SPI3_MISO","USART3_RX","I2C3_SDA","","","","","","","EVENTOUT"
"54","PC12","I/O","","","","TIM5_CH2","","HRTIM1_EEV1","TIM8_CH3N","UART5_TX","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","UCPD1_FRSTX1/UCPD1_FRSTX2","EVENTOUT"
"55","PD2","I/O","","","","","TIM3_ETR","","TIM8_BKIN","UART5_RX","","","","","","","","","","EVENTOUT"
"56","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","TIM4_ETR","CRS_SYNC","TIM8_CH1N","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","FDCAN3_RX","HRTIM1_SCOUT","HRTIM1_EEV9","SAI1_SCK_B","EVENTOUT"
"57","PB4","I/O","","","SYS_JTRST","TIM16_CH1","TIM3_CH1","","TIM8_CH2N","SPI1_MISO","SPI3_MISO","USART2_RX","UART5_DE/UART5_RTS","","TIM17_BKIN","FDCAN3_TX","","HRTIM1_EEV7","SAI1_MCLK_B","EVENTOUT"
"58","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","TIM8_CH3N","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","I2C3_SDA","FDCAN2_RX","TIM17_CH1","LPTIM1_IN1","SAI1_SD_B","HRTIM1_EEV6","UART5_CTS","EVENTOUT"
"59","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","","","TIM8_CH1","TIM8_ETR","USART1_TX","COMP4_OUT","FDCAN2_TX","TIM8_BKIN2","LPTIM1_ETR","HRTIM1_SCIN","HRTIM1_EEV4","SAI1_FS_B","EVENTOUT"
"60","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","I2C4_SDA","I2C1_SDA","TIM8_BKIN","","USART1_RX","COMP3_OUT","","TIM3_CH4","LPTIM1_IN2","","HRTIM1_EEV3","UART4_CTS","EVENTOUT"
"61","PB8-BOOT0","I/O","","","","TIM16_CH1","TIM4_CH3","SAI1_CK1","I2C1_SCL","","","USART3_RX","COMP1_OUT","FDCAN1_RX","TIM8_CH2","","TIM1_BKIN","HRTIM1_EEV8","SAI1_MCLK_A","EVENTOUT"
