"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"E2","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","","","","DCMI_D0",""
"E3","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1",""
"E4","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","FMC_D23","DCMI_D11","LTDC_G4"
"E5","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","FMC_D24","DCMI_D13","LTDC_G5"
"E6","PD0","I/O","","","","","","","","","","","","CAN1_RX","","","FMC_D2/FMC_DA2","",""
"E7","PD6","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","","","FMC_NWAIT","DCMI_D10","LTDC_B2"
"E8","PG13","I/O","","","SYS_TRACED0","","","","","SPI6_SCK","","","USART6_CTS","","","","FMC_A24","","LTDC_R0"
"E9","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5","DCMI_D7","LTDC_B7"
"E10","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19","",""
"E11","PC14/OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"E12","PC15/OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"F1","VDDUSB","Power","","","","","","","","","","","","","","","","",""
"F2","VSS","Power","","","","","","","","","","","","","","","","",""
"F3","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0","LTDC_HSYNC"
"F4","PC8","I/O","","","SYS_TRACED1","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0","DCMI_D2",""
"F5","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","QUADSPI_BK1_IO0","","","SDIO_D1","DCMI_D3",""
"F6","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","","","LTDC_R5"
"F7","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","","","LTDC_R4"
"F8","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"F9","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","","FMC_A23","",""
"F10","PI10","I/O","","","","","","","","","","","","","","","FMC_D31","","LTDC_HSYNC"
"F11","PI11","I/O","","","","","","","","","","","","LTDC_G6","USB_OTG_HS_ULPI_DIR","","","",""
"F12","VSS","Power","","","","","","","","","","","","","","","","",""
"G1","PG5","I/O","","","","","","","","","","","","","","","FMC_A15/FMC_BA1","",""
"G2","PG4","I/O","","","","","","","","","","","","","","","FMC_A14/FMC_BA0","",""
"G3","PG6","I/O","","","","","","","","","","","","","","","","DCMI_D12","LTDC_R7"
"G4","PG3","I/O","","","","","","","","","","","","","","","FMC_A13","",""
"G5","PG2","I/O","","","","","","","","","","","","","","","FMC_A12","",""
"G6","PG8","I/O","","","","","","","","SPI6_NSS","","","USART6_RTS","","","","FMC_SDCLK","","LTDC_G7"
"G7","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7","DCMI_D1","LTDC_G6"
"G8","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","","FMC_SDNE1","DCMI_D5",""
"G9","PI9","I/O","","","","","","","","","","","","CAN1_RX","","","FMC_D30","","LTDC_VSYNC"
"G10","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0","",""
"G11","VDD","Power","","","","","","","","","","","","","","","","",""
"G12","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","",""
"H1","VSSDSI","Power","","","","","","","","","","","","","","","","",""
"H2","DSIHOST_D1N","MonoIO","","","","","","","","","","","","","","","","",""
"H3","DSIHOST_D1P","MonoIO","","","","","","","","","","","","","","","","",""
"H4","PD13","I/O","","","","","TIM4_CH2","","","","","","","QUADSPI_BK1_IO3","","","FMC_A18","",""
"H5","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID","",""
"H6","PG7","I/O","","","","","","","","","SAI1_MCLK_A","","USART6_CK","","","","FMC_INT","DCMI_D13","LTDC_CLK"
"H7","VSS","Power","","","","","","","","","","","","","","","","",""
"H8","PF15","I/O","","","","","","","","","","","","","","","FMC_A9","",""
"H9","NRST","Reset","","","","","","","","","","","","","","","","",""
"H10","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1","",""
"H11","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","",""
"H12","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","",""
"J1","DSIHOST_CKP","MonoIO","","","","","","","","","","","","","","","","",""
"J2","DSIHOST_CKN","MonoIO","","","","","","","","","","","","","","","","",""
"J3","DSIHOST_D0N","MonoIO","","","","","","","","","","","","","","","","",""
"J4","PD11","I/O","","","","","","","","","","USART3_CTS","","QUADSPI_BK1_IO0","","","FMC_A16/FMC_CLE","",""
