"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"C6","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","","USART4_CK/USART4_DE/USART4_RTS","USART3_CK/USART3_DE/USART3_RTS","","EVENTOUT"
"C7","PA14-BOOT0","I/O","","","SYS_SWCLK","USART2_TX","","","","","","EVENTOUT"
"C8","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL","COMP1_OUT"
"D1","VDD","Power","","","","","","","","","",""
"D2","VREF+","MonoIO","","","","","","","","","",""
"D3","VBAT","Power","","","","","","","","","",""
"D4","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BK","","","LPTIM1_IN1","I2C1_SMBA","COMP2_OUT"
"D5","PD3","I/O","","","USART2_CTS/USART2_NSS","SPI2_MISO","TIM1_CH2N","","","","",""
"D6","PA10","I/O","","","SPI2_MOSI","USART1_RX","TIM1_CH3","","","TIM17_BK","I2C1_SDA","EVENTOUT"
"D7","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"D8","PD9","I/O","","","USART3_RX","I2S1_WS/SPI1_NSS","TIM1_BK2","","","","",""
"E1","VSS","Power","","","","","","","","","",""
"E2","PF2 - NRST","I/O","","","RCC_MCO","","","","","","",""
"E3","PC0","I/O","","","LPTIM1_IN1","LPUART1_RX","LPTIM2_IN1","","","","",""
"E4","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","","COMP2_OUT"
"E5","PC7","I/O","","","","TIM3_CH2","TIM2_CH4","","","","",""
"E6","PA9","I/O","","","RCC_MCO","USART1_TX","TIM1_CH2","","SPI2_MISO","TIM15_BK","I2C1_SCL","EVENTOUT"
"E7","PC6","I/O","","","","TIM3_CH1","TIM2_CH3","","","","",""
"E8","PD8","I/O","","","USART3_TX","I2S1_CK/SPI1_SCK","LPTIM1_OUT","","","","",""
"F1","PF0-OSC_IN (PF0)","I/O","","","","","TIM14_CH1","","","","",""
"F2","PC1","I/O","","","LPTIM1_OUT","LPUART1_TX","TIM15_CH1","","","","",""
"F3","PA3","I/O","","","SPI2_MISO","USART2_RX","TIM2_CH4","","","TIM15_CH2","LPUART1_RX","EVENTOUT"
"F4","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","USART3_CTS/USART3_NSS","TIM16_CH1","LPUART1_CTS","COMP1_OUT"
"F5","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","USART3_RX","LPTIM1_OUT","","COMP1_OUT"
"F6","PB14","I/O","","","SPI2_MISO","","TIM1_CH2N","","USART3_CK/USART3_DE/USART3_RTS","TIM15_CH1","I2C2_SDA","EVENTOUT"
"F7","PB15","I/O","","","SPI2_MOSI","","TIM1_CH3N","","TIM15_CH1N","TIM15_CH2","","EVENTOUT"
"F8","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","LPTIM2_OUT","","EVENTOUT"
"G1","PF1-OSC_OUT (PF1)","I/O","","","RCC_OSC_EN","","TIM15_CH1N","","","","",""
"G2","PC2","I/O","","","LPTIM1_IN2","SPI2_MISO","TIM15_CH2","","","","",""
"G3","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","TIM2_CH3","","","TIM15_CH1","LPUART1_TX","COMP2_OUT"
"G4","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","","USART3_TX","LPTIM2_ETR","","EVENTOUT"
"G5","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","USART3_CK/USART3_DE/USART3_RTS","LPTIM2_IN1","LPUART1_DE/LPUART1_RTS","EVENTOUT"
"G6","PB10","I/O","","","CEC","LPUART1_RX","TIM2_CH3","","USART3_TX","SPI2_SCK","I2C2_SCL","COMP1_OUT"
"G7","PB12","I/O","","","SPI2_NSS","LPUART1_DE/LPUART1_RTS","TIM1_BK","","","TIM15_BK","","EVENTOUT"
"G8","PB13","I/O","","","SPI2_SCK","LPUART1_CTS","TIM1_CH1N","","USART3_CTS/USART3_NSS","TIM15_CH1N","I2C2_SCL","EVENTOUT"
"H1","PC3","I/O","","","LPTIM1_ETR","SPI2_MOSI","LPTIM2_ETR","","","","",""
