"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"141","PC12","I/O","","","DEBUG_TRACED3","","HRTIM_EEV2","","","","I2S3_SDO/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDMMC1_CK","DCMI_D9",""
"142","PD0","I/O","","","","","","DFSDM1_CKIN6","","","SAI3_SCK_A","","UART4_RX","FDCAN1_RX","","","FMC_D2/FMC_DA2","",""
"143","PD1","I/O","","","","","","DFSDM1_DATIN6","","","SAI3_SD_A","","UART4_TX","FDCAN1_TX","","","FMC_D3/FMC_DA3","",""
"144","PD2","I/O","","","DEBUG_TRACED2","","TIM3_ETR","","","","","","UART5_RX","","","","SDMMC1_CMD","DCMI_D11",""
"145","PD3","I/O","","","","","","DFSDM1_CKOUT","","I2S2_CK/SPI2_SCK","","USART2_CTS/USART2_NSS","","","","","FMC_CLK","DCMI_D5","LTDC_G7"
"146","PD4","I/O","","","","","HRTIM_FLT3","","","","SAI3_FS_A","USART2_DE/USART2_RTS","","","","","FMC_NOE","",""
"147","PD5","I/O","","","","","HRTIM_EEV3","","","","","USART2_TX","","","","","FMC_NWE","",""
"148","VSS","Power","","","","","","","","","","","","","","","","",""
"149","VDD","Power","","","","","","","","","","","","","","","","",""
"150","PD6","I/O","","","","","SAI1_D1","DFSDM1_CKIN4","DFSDM1_DATIN1","I2S3_SDO/SPI3_MOSI","SAI1_SD_A","USART2_RX","SAI4_SD_A","","SAI4_D1","SDMMC2_CK","FMC_NWAIT","DCMI_D10","LTDC_B2"
"151","PD7","I/O","","","","","","DFSDM1_DATIN4","","I2S1_SDO/SPI1_MOSI","DFSDM1_CKIN1","USART2_CK","","SPDIFRX1_IN0","","SDMMC2_CMD","FMC_NE1","",""
"152","PG9","I/O","","","","","","","","I2S1_SDI/SPI1_MISO","","USART6_RX","SPDIFRX1_IN3","QUADSPI_BK2_IO2","SAI2_FS_B","","FMC_NCE/FMC_NE2","DCMI_VSYNC",""
"153","PG10","I/O","","","","","HRTIM_FLT5","","","I2S1_WS/SPI1_NSS","","","","LTDC_G3","SAI2_SD_B","","FMC_NE3","DCMI_D2","LTDC_B2"
"154","PG11","I/O","","","","LPTIM1_IN2","HRTIM_EEV4","","","I2S1_CK/SPI1_SCK","","","SPDIFRX1_IN0","","SDMMC2_D2","ETH_TX_EN","","DCMI_D3","LTDC_B3"
"155","PG12","I/O","","","","LPTIM1_IN1","HRTIM_EEV5","","","SPI6_MISO","","USART6_DE/USART6_RTS","SPDIFRX1_IN1","LTDC_B4","","ETH_TXD1","FMC_NE4","","LTDC_B1"
"156","PG13","I/O","","","DEBUG_TRACED0","LPTIM1_OUT","HRTIM_EEV10","","","SPI6_SCK","","USART6_CTS/USART6_NSS","","","","ETH_TXD0","FMC_A24","","LTDC_R0"
"157","PG14","I/O","","","DEBUG_TRACED1","LPTIM1_ETR","","","","SPI6_MOSI","","USART6_TX","","QUADSPI_BK2_IO3","","ETH_TXD1","FMC_A25","","LTDC_B0"
"158","VSS","Power","","","","","","","","","","","","","","","","",""
"159","VDD","Power","","","","","","","","","","","","","","","","",""
"160","PG15","I/O","","","","","","","","","","USART6_CTS/USART6_NSS","","","","","FMC_SDNCAS","DCMI_D13",""
"161","PB3 (JTDO/TRACESWO)","I/O","","","DEBUG_JTDO-SWO","TIM2_CH2","HRTIM_FLT4","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","SPI6_SCK","SDMMC2_D2","CRS_SYNC","UART7_RX","","",""
"162","PB4 (NJTRST)","I/O","","","","TIM16_BKIN","TIM3_CH1","HRTIM_EEV6","","I2S1_SDI/SPI1_MISO","I2S3_SDI/SPI3_MISO","I2S2_WS/SPI2_NSS","SPI6_MISO","SDMMC2_D3","","UART7_TX","","",""
"163","PB5","I/O","","","","TIM17_BKIN","TIM3_CH2","HRTIM_EEV7","I2C1_SMBA","I2S1_SDO/SPI1_MOSI","I2C4_SMBA","I2S3_SDO/SPI3_MOSI","SPI6_MOSI","FDCAN2_RX","USB_OTG_HS_ULPI_D7","ETH_PPS_OUT","FMC_SDCKE1","DCMI_D10","UART5_RX"
"164","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","HRTIM_EEV8","I2C1_SCL","CEC","I2C4_SCL","USART1_TX","LPUART1_TX","FDCAN2_TX","QUADSPI_BK1_NCS","DFSDM1_DATIN5","FMC_SDNE1","DCMI_D5","UART5_TX"
"165","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","HRTIM_EEV9","I2C1_SDA","","I2C4_SDA","USART1_RX","LPUART1_RX","","","DFSDM1_CKIN5","FMC_NL","DCMI_VSYNC",""
"166","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"167","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","DFSDM1_CKIN7","I2C1_SCL","","I2C4_SCL","SDMMC1_CKIN","UART4_RX","FDCAN1_RX","SDMMC2_D4","ETH_TXD3","SDMMC1_D4","DCMI_D6","LTDC_B6"
"168","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","DFSDM1_DATIN7","I2C1_SDA","I2S2_WS/SPI2_NSS","I2C4_SDA","SDMMC1_CDIR","UART4_TX","FDCAN1_TX","SDMMC2_D5","I2C4_SMBA","SDMMC1_D5","DCMI_D7","LTDC_B7"
"169","PE0","I/O","","","","LPTIM1_ETR","TIM4_ETR","HRTIM_SCIN","LPTIM2_ETR","","","","UART8_RX","","SAI2_MCLK_A","","FMC_NBL0","DCMI_D2",""
"170","PE1","I/O","","","","LPTIM1_IN2","","HRTIM_SCOUT","","","","","UART8_TX","","","","FMC_NBL1","DCMI_D3",""
"171","PDR_ON","Reset","","","","","","","","","","","","","","","","",""
"172","VDD","Power","","","","","","","","","","","","","","","","",""
"173","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","SAI2_MCLK_A","TIM8_BKIN_COMP1/TIM8_BKIN_COMP2","FMC_NBL2","DCMI_D5","LTDC_B4"
"174","PI5","I/O","","","","","","TIM8_CH1","","","","","","","SAI2_SCK_A","","FMC_NBL3","DCMI_VSYNC","LTDC_B5"
"175","PI6","I/O","","","","","","TIM8_CH2","","","","","","","SAI2_SD_A","","FMC_D28","DCMI_D6","LTDC_B6"
"176","PI7","I/O","","","","","","TIM8_CH3","","","","","","","SAI2_FS_A","","FMC_D29","DCMI_D7","LTDC_B7"
