"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"E8","PC8","I/O","","","TIM3_CH3","USART8_TX","","","","","",""
"F1","VSSA","Power","","","","","","","","","",""
"F2","PC2","I/O","","","EVENTOUT","I2S2_MCK/SPI2_MISO","USART8_TX","","","","",""
"F3","PA2","I/O","","","TIM15_CH1","USART2_TX","TIM2_CH3","TSC_G1_IO3","","","","COMP2_OUT"
"F4","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","TSC_G2_IO2","","USART6_RX","",""
"F5","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","TSC_G3_IO2","USART3_CK","","",""
"F6","PC6","I/O","","","TIM3_CH1","USART7_TX","","","","","",""
"F7","PB15","I/O","","","I2S2_SD/SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","","",""
"F8","PB14","I/O","","","I2S2_MCK/SPI2_MISO","TIM15_CH1","TIM1_CH2N","TSC_G6_IO4","USART3_DE/USART3_RTS","I2C2_SDA","",""
"G1","PC3","I/O","","","EVENTOUT","I2S2_SD/SPI2_MOSI","USART8_RX","","","","",""
"G2","PA0","I/O","","","","USART2_CTS","TIM2_CH1/TIM2_ETR","TSC_G1_IO1","USART4_TX","","","COMP1_OUT"
"G3","PA3","I/O","","","TIM15_CH2","USART2_RX","TIM2_CH4","TSC_G1_IO4","","","",""
"G4","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","TSC_G2_IO3","USART3_CTS","TIM16_CH1","EVENTOUT","COMP1_OUT"
"G5","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","TSC_G3_IO3","USART3_DE/USART3_RTS","","",""
"G6","NPOR","Power","","","","","","","","","",""
"G7","PB10","I/O","","","CEC","I2C2_SCL","TIM2_CH3","TSC_SYNC","USART3_TX","I2S2_CK/SPI2_SCK","",""
"G8","PB13","I/O","","","I2S2_CK/SPI2_SCK","","TIM1_CH1N","TSC_G6_IO3","USART3_CTS","I2C2_SCL","",""
"H1","VDDA","Power","","","","","","","","","",""
"H2","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","TIM2_CH2","TSC_G1_IO2","USART4_RX","TIM15_CH1N","",""
"H3","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART2_CK","","TSC_G2_IO1","TIM14_CH1","USART6_TX","",""
"H4","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","TSC_G2_IO4","TIM14_CH1","TIM17_CH1","EVENTOUT","COMP2_OUT"
"H5","PC4","I/O","","","EVENTOUT","USART3_TX","","","","","",""
"H6","PC5","I/O","","","TSC_G3_IO1","USART3_RX","","","","","",""
"H7","PB11","I/O","","","EVENTOUT","I2C2_SDA","TIM2_CH4","TSC_G6_IO1","USART3_RX","","",""
"H8","PB12","I/O","","","I2S2_WS/SPI2_NSS","EVENTOUT","TIM1_BKIN","TSC_G6_IO2","USART3_CK","TIM15_BKIN","",""
