"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"H1","PD9","I/O","","","","","","","","","","USART3_RX","","","DCMI_PIXCLK","","FMC_D14/FMC_DA14","SAI2_MCLK_A","","EVENTOUT"
"H2","PD8","I/O","","","","","","","","","","USART3_TX","","","DCMI_HSYNC","","FMC_D13/FMC_DA13","","","EVENTOUT"
"H3","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","I2C2_SDA","SPI2_MISO","DFSDM1_DATIN2","USART3_DE/USART3_RTS","","TSC_G1_IO3","","","","SAI2_MCLK_A","TIM15_CH1","EVENTOUT"
"H4","PB13","I/O","","","","TIM1_CH1N","","","I2C2_SCL","SPI2_SCK","DFSDM1_CKIN1","USART3_CTS/USART3_NSS","LPUART1_CTS","TSC_G1_IO2","","","","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"H5","PE14","I/O","","","","TIM1_CH4","","TIM1_BKIN2","","SPI1_MISO","","","","","OCTOSPIM_P1_IO2","","FMC_D11/FMC_DA11","","","EVENTOUT"
"H6","PE8","I/O","","","","TIM1_CH1N","","","","","DFSDM1_CKIN2","","","","","","FMC_D5/FMC_DA5","SAI1_SCK_B","","EVENTOUT"
"H7","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","DFSDM1_DATIN0","USART3_DE/USART3_RTS","LPUART1_DE/LPUART1_RTS","","OCTOSPIM_P1_IO0","","","","LPTIM2_IN1","EVENTOUT"
"H8","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","","","","","USART2_TX","LPUART1_TX","","OCTOSPIM_P1_NCS","","","SAI2_EXTCLK","TIM15_CH1","EVENTOUT"
"H9","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","DFSDM1_CKOUT","","","","OCTOSPIM_P1_IO5","","","","","EVENTOUT"
"H10","PF10","I/O","","","","","","OCTOSPIM_P1_CLK","","","DFSDM1_CKOUT","","","","DCMI_D11","","","SAI1_D3","TIM15_CH2","EVENTOUT"
"H11","NRST","Reset","","","","","","","","","","","","","","","","","",""
"H12","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"J1","NC","NC","","","","","","","","","","","","","","","","","",""
"J2","NC","NC","","","","","","","","","","","","","","","","","",""
"J3","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","SPI2_MOSI","DFSDM1_CKIN2","","","TSC_G1_IO4","","","","SAI2_SD_A","TIM15_CH2","EVENTOUT"
"J4","PB12","I/O","","","","","","TIM1_BKIN","I2C2_SMBA","SPI2_NSS","DFSDM1_DATIN1","USART3_CK","LPUART1_DE/LPUART1_RTS","TSC_G1_IO1","","","","SAI2_FS_A","TIM15_BKIN","EVENTOUT"
"J5","PE13","I/O","","","","TIM1_CH3","","","","SPI1_SCK","DFSDM1_CKIN5","","","TSC_G5_IO4","OCTOSPIM_P1_IO1","","FMC_D10/FMC_DA10","","","EVENTOUT"
"J6","PF15","I/O","","","","","","","I2C4_SDA","","","","","TSC_G8_IO2","","","FMC_A9","","","EVENTOUT"
"J7","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","LPTIM1_OUT","","","I2C3_SMBA","","DFSDM1_CKIN0","","","","OCTOSPIM_P1_DQS","","","","","EVENTOUT"
"J8","PA6","I/O","","","","","TIM3_CH1","","DCMI_PIXCLK","SPI1_MISO","","USART3_CTS/USART3_NSS","LPUART1_CTS","","OCTOSPIM_P1_IO3","","TIM1_BKIN","TIM8_BKIN","TIM16_CH1","EVENTOUT"
"J9","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","TIM8_ETR","","","","USART2_CTS/USART2_NSS","UART4_TX","","","","","SAI1_EXTCLK","TIM2_ETR","EVENTOUT"
"J10","PC3","I/O","","","","LPTIM1_ETR","","SAI1_D1","","SPI2_MOSI","","","","","OCTOSPIM_P1_IO6","","","SAI1_SD_A","LPTIM2_ETR","EVENTOUT"
"J11","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","DFSDM1_DATIN4","","LPUART1_RX","","","","","SAI2_FS_A","LPTIM2_IN1","EVENTOUT"
"J12","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"K1","NC","NC","","","","","","","","","","","","","","","","","",""
"K2","NC","NC","","","","","","","","","","","","","","","","","",""
"K3","VSS","Power","","","","","","","","","","","","","","","","","",""
"K4","PE15","I/O","","","","","","TIM1_BKIN","","SPI1_MOSI","","","","","OCTOSPIM_P1_IO3","","FMC_D12/FMC_DA12","","","EVENTOUT"
"K5","PE10","I/O","","","","TIM1_CH2N","","","","","DFSDM1_DATIN4","","","TSC_G5_IO1","OCTOSPIM_P1_CLK","","FMC_D7/FMC_DA7","SAI1_MCLK_B","","EVENTOUT"
"K6","PG0","I/O","","","","","","","","OCTOSPIM_P2_IO4","","","","TSC_G8_IO3","","","FMC_A10","","","EVENTOUT"
"K7","PF11","I/O","","","","","","","","","","","","","DCMI_D12","","","","","EVENTOUT"
"K8","PC5","I/O","","","","","","SAI1_D3","","","","USART3_RX","","","","","","","","EVENTOUT"
"K9","PA4","I/O","","","","","","OCTOSPIM_P1_NCS","","SPI1_NSS","SPI3_NSS","USART2_CK","","","DCMI_HSYNC","","","SAI1_FS_B","LPTIM2_OUT","EVENTOUT"
"K10","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","I2C1_SMBA","SPI1_SCK","","USART2_DE/USART2_RTS","UART4_RX","","OCTOSPIM_P1_DQS","","","","TIM15_CH1N","EVENTOUT"
"K11","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"K12","PC1","I/O","","","SYS_TRACED0","LPTIM1_OUT","","SPI2_MOSI","I2C3_SDA","","DFSDM1_CKIN4","","LPUART1_TX","","OCTOSPIM_P1_IO4","","","SAI1_SD_A","","EVENTOUT"
"L1","NC","NC","","","","","","","","","","","","","","","","","",""
"L2","NC","NC","","","","","","","","","","","","","","","","","",""
"L3","NC","NC","","","","","","","","","","","","","","","","","",""
"L4","PB10","I/O","","","","TIM2_CH3","","I2C4_SCL","I2C2_SCL","SPI2_SCK","DFSDM1_DATIN7","USART3_TX","LPUART1_RX","TSC_SYNC","OCTOSPIM_P1_CLK","","COMP1_OUT","SAI1_SCK_A","","EVENTOUT"
"L5","PE11","I/O","","","","TIM1_CH2","","","","","DFSDM1_CKIN4","","","TSC_G5_IO2","OCTOSPIM_P1_NCS","","FMC_D8/FMC_DA8","","","EVENTOUT"
"L6","PG1","I/O","","","","","","","","OCTOSPIM_P2_IO5","","","","TSC_G8_IO4","","","FMC_A11","","","EVENTOUT"
"L7","VDD","Power","","","","","","","","","","","","","","","","","",""
"L8","PF12","I/O","","","","","","","","OCTOSPIM_P2_DQS","","","","","","","FMC_A6","","","EVENTOUT"
"L9","PC4","I/O","","","","","","","","","","USART3_TX","","","OCTOSPIM_P1_IO7","","","","","EVENTOUT"
"L10","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","SAI1_CK1","","","","USART2_RX","LPUART1_RX","","OCTOSPIM_P1_CLK","","","SAI1_MCLK_A","TIM15_CH2","EVENTOUT"
"L11","VREF+","MonoIO","","","","","","","","","","","","","","","","","",""
"L12","VDDA","Power","","","","","","","","","","","","","","","","","",""
"M1","VDD","Power","","","","","","","","","","","","","","","","","",""
"M2","VDD","Power","","","","","","","","","","","","","","","","","",""
"M3","VSS","Power","","","","","","","","","","","","","","","","","",""
"M4","PB11","I/O","","","","TIM2_CH4","","I2C4_SDA","I2C2_SDA","","DFSDM1_CKIN7","USART3_RX","LPUART1_TX","","OCTOSPIM_P1_NCS","","COMP2_OUT","","","EVENTOUT"
"M5","PE12","I/O","","","","TIM1_CH3N","","","","SPI1_NSS","DFSDM1_DATIN5","","","TSC_G5_IO3","OCTOSPIM_P1_IO0","","FMC_D9/FMC_DA9","","","EVENTOUT"
"M6","PE7","I/O","","","","TIM1_ETR","","","","","DFSDM1_DATIN2","","","","","","FMC_D4/FMC_DA4","SAI1_SD_B","","EVENTOUT"
"M7","PF13","I/O","","","","","","","I2C4_SMBA","","DFSDM1_DATIN6","","","","","","FMC_A7","","","EVENTOUT"
"M8","VSS","Power","","","","","","","","","","","","","","","","","",""
"M9","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","SPI1_NSS","","USART3_CK","","","OCTOSPIM_P1_IO1","","COMP1_OUT","SAI1_EXTCLK","","EVENTOUT"
"M10","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","I2C3_SCL","SPI1_MOSI","","","","","OCTOSPIM_P1_IO2","","","","TIM17_CH1","EVENTOUT"
"M11","VDD","Power","","","","","","","","","","","","","","","","","",""
"M12","VSS","Power","","","","","","","","","","","","","","","","","",""
