"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"55","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","I2S1_SDI/SPI1_MISO","","","SPI6_MISO","TIM13_CH1","TIM8_BKIN_COMP1/TIM8_BKIN_COMP2","MDIOS_MDC","TIM1_BKIN_COMP1/TIM1_BKIN_COMP2","DCMI_PIXCLK","LTDC_G2"
"56","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SDO/SPI1_MOSI","","","SPI6_MOSI","TIM14_CH1","","ETH_CRS_DV/ETH_RX_DV","FMC_SDNWE","",""
"57","PC4","I/O","","","","","","DFSDM1_CKIN2","","I2S1_MCK","","","","SPDIFRX1_IN2","","ETH_RXD0","FMC_SDNE0","",""
"58","PC5","I/O","","","","","SAI1_D3","DFSDM1_DATIN2","","","","","","SPDIFRX1_IN3","SAI4_D3","ETH_RXD1","FMC_SDCKE0","COMP1_OUT",""
"59","VDD","Power","","","","","","","","","","","","","","","","",""
"60","VSS","Power","","","","","","","","","","","","","","","","",""
"61","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","DFSDM1_CKOUT","","UART4_CTS","LTDC_R3","USB_OTG_HS_ULPI_D1","ETH_RXD2","","","LTDC_G1"
"62","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","DFSDM1_DATIN1","","","LTDC_R6","USB_OTG_HS_ULPI_D2","ETH_RXD3","","","LTDC_G0"
"63","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","","SAI1_D1","","DFSDM1_CKIN1","","SAI1_SD_A","I2S3_SDO/SPI3_MOSI","SAI4_SD_A","QUADSPI_CLK","SAI4_D1","","","",""
"64","PI15","I/O","","","","","","","","","","","","LTDC_G2","","","","","LTDC_R0"
"65","PJ0","I/O","","","","","","","","","","","","LTDC_R7","","","","","LTDC_R1"
"66","PJ1","I/O","","","","","","","","","","","","","","","","","LTDC_R2"
"67","PJ2","I/O","","","","","","","","","","","","","","","","","LTDC_R3"
"68","PJ3","I/O","","","","","","","","","","","","","","","","","LTDC_R4"
"69","PJ4","I/O","","","","","","","","","","","","","","","","","LTDC_R5"
"70","PF11","I/O","","","","","","","","SPI5_MOSI","","","","","SAI2_SD_B","","FMC_SDNRAS","DCMI_D12",""
"71","PF12","I/O","","","","","","","","","","","","","","","FMC_A6","",""
"72","VSS","Power","","","","","","","","","","","","","","","","",""
"73","VDD","Power","","","","","","","","","","","","","","","","",""
"74","PF13","I/O","","","","","","DFSDM1_DATIN6","I2C4_SMBA","","","","","","","","FMC_A7","",""
"75","PF14","I/O","","","","","","DFSDM1_CKIN6","I2C4_SCL","","","","","","","","FMC_A8","",""
"76","PF15","I/O","","","","","","","I2C4_SDA","","","","","","","","FMC_A9","",""
"77","PG0","I/O","","","","","","","","","","","","","","","FMC_A10","",""
"78","PG1","I/O","","","","","","","","","","","","","","","FMC_A11","",""
"79","PE7","I/O","","","","TIM1_ETR","","DFSDM1_DATIN2","","","","UART7_RX","","","QUADSPI_BK2_IO0","","FMC_D4/FMC_DA4","",""
"80","PE8","I/O","","","","TIM1_CH1N","","DFSDM1_CKIN2","","","","UART7_TX","","","QUADSPI_BK2_IO1","","FMC_D5/FMC_DA5","COMP2_OUT",""
"81","PE9","I/O","","","","TIM1_CH1","","DFSDM1_CKOUT","","","","UART7_DE/UART7_RTS","","","QUADSPI_BK2_IO2","","FMC_D6/FMC_DA6","",""
"82","VSS","Power","","","","","","","","","","","","","","","","",""
"83","VDD","Power","","","","","","","","","","","","","","","","",""
"84","PE10","I/O","","","","TIM1_CH2N","","DFSDM1_DATIN4","","","","UART7_CTS","","","QUADSPI_BK2_IO3","","FMC_D7/FMC_DA7","",""
"85","PE11","I/O","","","","TIM1_CH2","","DFSDM1_CKIN4","","SPI4_NSS","","","","","SAI2_SD_B","","FMC_D8/FMC_DA8","","LTDC_G3"
"86","PE12","I/O","","","","TIM1_CH3N","","DFSDM1_DATIN5","","SPI4_SCK","","","","","SAI2_SCK_B","","FMC_D9/FMC_DA9","COMP1_OUT","LTDC_B4"
"87","PE13","I/O","","","","TIM1_CH3","","DFSDM1_CKIN5","","SPI4_MISO","","","","","SAI2_FS_B","","FMC_D10/FMC_DA10","COMP2_OUT","LTDC_DE"
"88","PE14","I/O","","","","TIM1_CH4","","","","SPI4_MOSI","","","","","SAI2_MCLK_B","","FMC_D11/FMC_DA11","","LTDC_CLK"
"89","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","","FMC_D12/FMC_DA12","TIM1_BKIN_COMP1/TIM1_BKIN_COMP2","LTDC_R7"
"90","PB10","I/O","","","","TIM2_CH3","HRTIM_SCOUT","LPTIM2_IN1","I2C2_SCL","I2S2_CK/SPI2_SCK","DFSDM1_DATIN7","USART3_TX","","QUADSPI_BK1_NCS","USB_OTG_HS_ULPI_D3","ETH_RX_ER","","","LTDC_G4"
"91","PB11","I/O","","","","TIM2_CH4","HRTIM_SCIN","LPTIM2_ETR","I2C2_SDA","","DFSDM1_CKIN7","USART3_RX","","","USB_OTG_HS_ULPI_D4","ETH_TX_EN","","","LTDC_G5"
"92","VCAP","Power","","","","","","","","","","","","","","","","",""
"93","VSS","Power","","","","","","","","","","","","","","","","",""
"94","VDD","Power","","","","","","","","","","","","","","","","",""
"95","PJ5","I/O","","","","","","","","","","","","","","","","","LTDC_R6"
"96","PH6","I/O","","","","","TIM12_CH1","","I2C2_SMBA","SPI5_SCK","","","","","","ETH_RXD2","FMC_SDNE1","DCMI_D8",""
