"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"F7","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","SPI2_MOSI","","","","TSC_G1_IO4","","","SWPMI1_SUSPEND","SAI1_SD_A","TIM15_CH2","EVENTOUT"
"F8","PB14","I/O","","","","TIM1_CH2N","","","I2C2_SDA","SPI2_MISO","","USART3_DE/USART3_RTS","","TSC_G1_IO3","","","SWPMI1_RX","SAI1_MCLK_A","TIM15_CH1","EVENTOUT"
"G1","PC3","I/O","","","","LPTIM1_ETR","","","","SPI2_MOSI","","","","","","","","SAI1_SD_A","LPTIM2_ETR","EVENTOUT"
"G2","PA0","I/O","","","","TIM2_CH1","","","","","","USART2_CTS","","","","","COMP1_OUT","SAI1_EXTCLK","TIM2_ETR","EVENTOUT"
"G3","PA3","I/O","","","","TIM2_CH4","","","","","","USART2_RX","LPUART1_RX","","QUADSPI_CLK","","","SAI1_MCLK_A","TIM15_CH2","EVENTOUT"
"G4","PA6","I/O","","","","TIM1_BKIN","","","","SPI1_MISO","COMP1_OUT","USART3_CTS","LPUART1_CTS","","QUADSPI_BK1_IO3","","TIM1_BKIN_COMP2","","TIM16_CH1","EVENTOUT"
"G5","PB1","I/O","","","","TIM1_CH3N","","","","","","USART3_DE/USART3_RTS","LPUART1_DE/LPUART1_RTS","","QUADSPI_BK1_IO0","","","","LPTIM2_IN1","EVENTOUT"
"G6","PB2","I/O","","","RTC_OUT_ALARM/RTC_OUT_CALIB","LPTIM1_OUT","","","I2C3_SMBA","","","","","","","","","","","EVENTOUT"
"G7","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","SPI2_SCK","","USART3_TX","LPUART1_RX","TSC_SYNC","QUADSPI_CLK","","COMP1_OUT","SAI1_SCK_A","","EVENTOUT"
"G8","PB13","I/O","","","","TIM1_CH1N","","","I2C2_SCL","SPI2_SCK","","USART3_CTS","LPUART1_CTS","TSC_G1_IO2","","","SWPMI1_TX","SAI1_SCK_A","TIM15_CH1N","EVENTOUT"
"H1","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"H2","PA1","I/O","","","","TIM2_CH2","","","I2C1_SMBA","SPI1_SCK","","USART2_DE/USART2_RTS","","","","","","","TIM15_CH1N","EVENTOUT"
"H3","PA4","I/O","","","","","","","","SPI1_NSS","SPI3_NSS","USART2_CK","","","","","","SAI1_FS_B","LPTIM2_OUT","EVENTOUT"
"H4","PA7","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI1_MOSI","","","","","QUADSPI_BK1_IO2","","COMP2_OUT","","","EVENTOUT"
"H5","PC4","I/O","","","","","","","","","","USART3_TX","","","","","","","","EVENTOUT"
