"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"D9","PC15-OSC32_OUT","I/O","","","RCC_OSC32_OUT","","","","","","","","","","","","","","TIMX_IC4"
"E1","PA11","I/O","","","","","","","","SPI1_MISO","","USART1_CTS","","","USB_DM","","","","TIMX_IC4"
"E2","PA12","I/O","","","","","","","","SPI1_MOSI","","USART1_RTS","","","USB_DP","","","","TIMX_IC1"
"E3","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","TIMX_IC2/TS_G5_IO1"
"E4","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","","","","","","TIMX_IC3"
"E6","PE6-WKUP3","I/O","","","RTC_TAMP3/SYS_TRACED3/SYS_WKUP3","","","TIM9_CH2","","","","","","","","","","","TIMX_IC3"
"E7","VLCD","Power","","","","","","","","","","","","","","","","",""
"E8","VSS","Power","","","","","","","","","","","","","","","","",""
"E9","VDD","Power","","","","","","","","","","","","","","","","",""
"F1","PA9","I/O","","","","","","","","","","USART1_TX","","","","","","","TIMX_IC2/TS_G4_IO2"
"F2","PA10","I/O","","","","","","","","","","USART1_RX","","","","","","","TIMX_IC3/TS_G4_IO3"
"F3","PA8","I/O","","","RCC_MCO","","","","","","","USART1_CK","","","","","","","TIMX_IC1/TS_G4_IO1"
"F4","PC9","I/O","","","","","TIM3_CH4","","","","","","","","","","","","TIMX_IC2/TS_G10_IO4"
"F6","PC0","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC1/TS_G8_IO1"
"F7","NRST","Reset","","","","","","","","","","","","","","","","",""
"F8","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","","",""
"F9","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","","",""
"G1","PC7","I/O","","","","","TIM3_CH2","","","","I2S3_MCK","","","","","","","","TIMX_IC4/TS_G10_IO2"
"G2","PC8","I/O","","","","","TIM3_CH3","","","","","","","","","","","","TIMX_IC1/TS_G10_IO3"
"G3","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","","","TIMX_IC4"
"G4","PD11","I/O","","","","","","","","","","USART3_CTS","","","","","","","TIMX_IC4"
"G6","VDDA","Power","","","","","","","","","","","","","","","","",""
"G7","VREF+","Power","","","","","","","","","","","","","","","","",""
"G8","PC3","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC4/TS_G8_IO4"
"G9","PC2","I/O","","","","","","","","","","","","","","","","","COMP1_INP/TIMX_IC3/TS_G8_IO3"
