"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"F1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","",""
"F2","VSS","Power","","","","","","","","","","","","","","",""
"F3","VDD","Power","","","","","","","","","","","","","","",""
"F4","PH2","I/O","","","","","","LPTIM1_IN2","","","","","","QUADSPI_BK2_IO0","SAI2_SCK_B","","FMC_SDCKE0"
"F6","VSS","Power","","","","","","","","","","","","","","",""
"F7","VSS","Power","","","","","","","","","","","","","","",""
"F8","VSS","Power","","","","","","","","","","","","","","",""
"F9","VSS","Power","","","","","","","","","","","","","","",""
"F10","VSS","Power","","","","","","","","","","","","","","",""
"F12","VSS","Power","","","","","","","","","","","","","","",""
"F13","VCAP_2","Power","","","","","","","","","","","","","","",""
"F14","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","UART5_CTS","","QUADSPI_BK1_IO0","","","SDMMC1_D1"
"F15","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","TIM8_BKIN2","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","",""
"G1","PH0-OSC_IN","I/O","","","","","","","","","","","","","","",""
"G2","VSS","Power","","","","","","","","","","","","","","",""
"G3","VDD","Power","","","","","","","","","","","","","","",""
"G4","PH3","I/O","","","","","","","","","","","","QUADSPI_BK2_IO1","SAI2_MCLK_B","","FMC_SDNE0"
"G6","VSS","Power","","","","","","","","","","","","","","",""
"G7","VSS","Power","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","",""
"G9","VSS","Power","","","","","","","","","","","","","","",""
"G10","VSS","Power","","","","","","","","","","","","","","",""
"G12","VSS","Power","","","","","","","","","","","","","","",""
"G13","VDD","Power","","","","","","","","","","","","","","",""
