"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"23","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","","",""
"24","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","","",""
"25","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","SAI2_SCK_B","","","","",""
"26","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","SAI1_FS_A","USART2_RX","","","USB_OTG_HS_ULPI_D0","","",""
"27","VSS","Power","","","","","","","","","","","","","","","",""
"28","VDD","Power","","","","","","","","","","","","","","","",""
"29","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC"
"30","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","",""
"31","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","I2S2_MCK","","","TIM13_CH1","","","","DCMI_PIXCLK"
"32","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","","FMC_SDNWE",""
"33","PC4","I/O","","","","","","","","I2S1_MCK","","","SPDIFRX_IN2","","","","FMC_SDNE0",""
"34","PC5","I/O","","","","","","","","","","USART3_RX","SPDIFRX_IN3","","","","FMC_SDCKE0",""
"35","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","I2S3_SD/SPI3_MOSI","UART4_CTS","","USB_OTG_HS_ULPI_D1","","SDIO_D1",""
"36","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","","SDIO_D2",""
"37","PB2","I/O","","","","TIM2_CH4","","","","","SAI1_SD_A","I2S3_SD/SPI3_MOSI","","QUADSPI_CLK","USB_OTG_HS_ULPI_D4","","SDIO_CK",""
"38","PE7","I/O","","","","TIM1_ETR","","","","","","","UART5_RX","","QUADSPI_BK2_IO0","","FMC_D4/FMC_DA4",""
"39","PE8","I/O","","","","TIM1_CH1N","","","","","","","UART5_TX","","QUADSPI_BK2_IO1","","FMC_D5/FMC_DA5",""
"40","PE9","I/O","","","","TIM1_CH1","","","","","","","","","QUADSPI_BK2_IO2","","FMC_D6/FMC_DA6",""
"41","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","QUADSPI_BK2_IO3","","FMC_D7/FMC_DA7",""
"42","PE11","I/O","","","","TIM1_CH2","","","","SPI4_NSS","","","","","SAI2_SD_B","","FMC_D8/FMC_DA8",""
"43","PE12","I/O","","","","TIM1_CH3N","","","","SPI4_SCK","","","","","SAI2_SCK_B","","FMC_D9/FMC_DA9",""
"44","PE13","I/O","","","","TIM1_CH3","","","","SPI4_MISO","","","","","SAI2_FS_B","","FMC_D10/FMC_DA10",""
"45","PE14","I/O","","","","TIM1_CH4","","","","SPI4_MOSI","","","","","SAI2_MCLK_B","","FMC_D11/FMC_DA11",""
"46","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","","FMC_D12/FMC_DA12",""
"47","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","SAI1_SCK_A","USART3_TX","","","USB_OTG_HS_ULPI_D3","","",""
