"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"C1","PB13","I/O","","","","TIM1_CH1N","","","I2C3_SCL","SPI2_SCK","","","LPUART1_CTS","TSC_G1_IO2","","LCD_SEG13","","SAI1_SCK_A",""
"C2","PD3","I/O","","","","","","SPI2_SCK","","SPI2_MISO","","","","","QUADSPI_BK1_NCS","","","",""
"C3","PD1","I/O","","","","","","","","SPI2_SCK","","","","","","","","",""
"C4","PD0","I/O","","","","","","","","SPI2_NSS","","","","","","","","",""
"C5","PC12","I/O","","","SYS_TRACED3","","","","","","","","","TSC_G3_IO4","","LCD_COM6/LCD_SEG30/LCD_SEG42","","",""
"C6","PD6","I/O","","","","","","SAI1_D1","","","","","","TSC_G5_IO3","QUADSPI_BK1_IO2","","","SAI1_SD_A",""
"C7","PB4","I/O","","","SYS_JTRST","","","","I2C3_SDA","SPI1_MISO","","USART1_CTS/USART1_NSS","","TSC_G2_IO1","","LCD_SEG8","","SAI1_MCLK_B","TIM17_BKIN"
"C8","PE0","I/O","","","","TIM1_ETR","","","","","","","","TSC_G7_IO3","","LCD_SEG36","","","TIM16_CH1"
"C9","PD13","I/O","","","","","","","","","","","","TSC_G6_IO4","","LCD_SEG33","","","LPTIM2_OUT"
"C10","VBAT","Power","","","","","","","","","","","","","","","","",""
"D1","VDDSMPS","Power","","","","","","","","","","","","","","","","",""
"D2","PC6","I/O","","","","","","","","","","","","TSC_G4_IO1","","LCD_SEG24","","",""
"D3","PD4","I/O","","","","","","","","SPI2_MOSI","","","","TSC_G5_IO1","QUADSPI_BK1_IO0","","","",""
"D4","PD8","I/O","","","","","TIM1_BKIN2","","","","","","","","","LCD_SEG28","","",""
"D5","PD9","I/O","","","SYS_TRACED0","","","","","","","","","","","LCD_SEG29","","",""
"D6","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","SPI1_MOSI","","USART1_CK","LPUART1_TX","TSC_G2_IO2","","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN"
"D7","PB7","I/O","","","","LPTIM1_IN2","","TIM1_BKIN","I2C1_SDA","","","USART1_RX","","TSC_G2_IO4","","LCD_SEG21","","","TIM17_CH1N"
"D8","PD14","I/O","","","","TIM1_CH1","","","","","","","","","","LCD_SEG34","","",""
"D9","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","",""
"D10","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","",""
"E1","VLXSMPS","Power","","","","","","","","","","","","","","","","",""
"E2","PB14","I/O","","","","TIM1_CH2N","","","I2C3_SDA","SPI2_MISO","","","","TSC_G1_IO3","","LCD_SEG14","","SAI1_MCLK_A",""
"E3","PC7","I/O","","","","","","","","","","","","TSC_G4_IO2","","LCD_SEG25","","",""
"E4","PD10","I/O","","","","","","","","","","","","TSC_G6_IO1","","LCD_SEG30","","",""
"E5","PD11","I/O","","","","","","","","","","","","TSC_G6_IO2","","LCD_SEG31","","","LPTIM2_ETR"
"E6","PE2","I/O","","","SYS_TRACECLK","","","SAI1_CK1","","","","","","TSC_G7_IO1","","LCD_SEG38","","SAI1_MCLK_A",""
"E7","PD15","I/O","","","","TIM1_CH2","","","","","","","","","","LCD_SEG35","","",""
"E8","PH3-BOOT0","I/O","","","RCC_LSCO","","","","","","","","","","","","","",""
"E9","PH1","I/O","","","","","","","","","","","","","","","","",""
"E10","PH0","I/O","","","","","","","","","","","","","","","","",""
"F1","VSSSMPS","Power","","","","","","","","","","","","","","","","",""
"F2","VFBSMPS","Power","","","","","","","","","","","","","","","","",""
"F3","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","SPI2_MOSI","","","","TSC_G1_IO4","","LCD_SEG15","","SAI1_SD_A",""
"F4","PC8","I/O","","","","","","","","","","","","TSC_G4_IO3","","LCD_SEG26","","",""
"F5","PB6","I/O","","","RCC_MCO","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","TSC_G2_IO3","","LCD_SEG6","","SAI1_FS_B","TIM16_CH1N"
"F6","PA2","I/O","","","RCC_LSCO","TIM2_CH3","","","","","","","LPUART1_TX","","QUADSPI_BK1_NCS","LCD_SEG1","COMP2_OUT","",""
"F7","PB8","I/O","","","","TIM1_CH2N","","SAI1_CK1","I2C1_SCL","","","","","","QUADSPI_BK1_IO1","LCD_SEG16","","SAI1_MCLK_A","TIM16_CH1"
"F8","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","","","LPUART1_RX","","","LCD_SEG18","","","LPTIM2_IN1"
"F9","NRST","Reset","","","","","","","","","","","","","","","","",""
"F10","PB9","I/O","","","","TIM1_CH3N","","SAI1_D2","I2C1_SDA","SPI2_NSS","","","IR_OUT","TSC_G7_IO4","QUADSPI_BK1_IO0","LCD_COM3","","SAI1_FS_A","TIM17_CH1"
"G1","PE4","I/O","","","","","","","","","","","","","","","","",""
"G2","PE3","I/O","","","","","","","","","","","","","","","","",""
"G3","PB12","I/O","","","","","","TIM1_BKIN","I2C3_SMBA","SPI2_NSS","","","LPUART1_DE/LPUART1_RTS","TSC_G1_IO1","","LCD_SEG12","","SAI1_FS_A",""
