"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"E4","PE5","I/O","","","SYS_TRACED2","","TIM3_CH3","","","","DFSDM1_CKIN3","","","TSC_G7_IO4","DCMI_D6","","FMC_A21","SAI1_SCK_A","","EVENTOUT"
"E5","PH3-BOOT0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E6","PG11","I/O","","","","LPTIM1_IN2","","","","","SPI3_MOSI","USART1_CTS","","","","","","SAI2_MCLK_A","TIM15_CH2","EVENTOUT"
"E7","PD6","I/O","","","","","","","DCMI_D10","QUADSPI_BK2_IO1","DFSDM1_DATIN1","USART2_RX","","","QUADSPI_BK2_IO2","","FMC_NWAIT","SAI1_SD_A","","EVENTOUT"
"E8","PD3","I/O","","","","","","SPI2_SCK","DCMI_D5","SPI2_MISO","DFSDM1_DATIN0","USART2_CTS","","","QUADSPI_BK2_NCS","","FMC_CLK","","","EVENTOUT"
"E9","PC11","I/O","","","","","","","","QUADSPI_BK2_NCS","SPI3_MISO","USART3_RX","UART4_RX","TSC_G3_IO3","DCMI_D4","LCD_COM5/LCD_SEG29/LCD_SEG41","SDMMC1_D3","SAI2_MCLK_B","","EVENTOUT"
"E10","PI5","I/O","","","","","","TIM8_CH1","","","","","","","DCMI_VSYNC","","","","","EVENTOUT"
"E11","PH6","I/O","","","","","","","I2C2_SMBA","","","","","","DCMI_D8","","","","","EVENTOUT"
"E12","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"E13","PA11","I/O","","","","TIM1_CH4","TIM1_BKIN2","","","SPI1_MISO","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","TIM1_BKIN2_COMP1","","","EVENTOUT"
"F1","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"F2","VSS","Power","","","","","","","","","","","","","","","","","",""
"F3","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","","","EVENTOUT"
"F4","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1","","","EVENTOUT"
"F5","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0","","","EVENTOUT"
"F6","PG12","I/O","","","","LPTIM1_ETR","","","","","SPI3_NSS","USART1_DE/USART1_RTS","","","","","FMC_NE4","SAI2_SD_A","","EVENTOUT"
"F7","PD7","I/O","","","","","","","","","DFSDM1_CKIN1","USART2_CK","","","QUADSPI_BK2_IO3","","FMC_NE1","","","EVENTOUT"
"F8","PC12","I/O","","","SYS_TRACED3","","","","","","SPI3_MOSI","USART3_CK","UART5_TX","TSC_G3_IO4","DCMI_D9","LCD_COM6/LCD_SEG30/LCD_SEG42","SDMMC1_CK","SAI2_SD_B","","EVENTOUT"
"F9","PA10","I/O","","","","TIM1_CH3","","","","DCMI_D1","","USART1_RX","","","USB_OTG_FS_ID","LCD_COM2","","SAI1_SD_A","TIM17_BKIN","EVENTOUT"
"F10","PA9","I/O","","","","TIM1_CH2","","SPI2_SCK","","DCMI_D0","","USART1_TX","","","","LCD_COM1","","SAI1_FS_A","TIM15_BKIN","EVENTOUT"
"F11","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","","DFSDM1_CKIN3","","","TSC_G4_IO1","DCMI_D0","LCD_SEG24","SDMMC1_D6","SAI2_MCLK_A","","EVENTOUT"
"F12","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"F13","VSS","Power","","","","","","","","","","","","","","","","","",""
"G1","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"G2","VDD","Power","","","","","","","","","","","","","","","","","",""
"G3","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","","","EVENTOUT"
"G4","PF4","I/O","","","","","","","","","","","","","","","FMC_A4","","","EVENTOUT"
"G5","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","","","EVENTOUT"
"G6","PG14","I/O","","","","","","","I2C1_SCL","","","","","","","","FMC_A25","","","EVENTOUT"
"G7","PG13","I/O","","","","","","","I2C1_SDA","","","USART1_CK","","","","","FMC_A24","","","EVENTOUT"
"G8","PA8","I/O","","","RCC_MCO","TIM1_CH1","","","","","","USART1_CK","","","USB_OTG_FS_SOF","LCD_COM0","SWPMI1_IO","SAI1_SCK_A","LPTIM2_OUT","EVENTOUT"
"G9","PC9","I/O","","","","TIM8_BKIN2","TIM3_CH4","TIM8_CH4","DCMI_D3","","I2C3_SDA","","","TSC_G4_IO4","USB_OTG_FS_NOE","LCD_SEG27","SDMMC1_D1","SAI2_EXTCLK","TIM8_BKIN2_COMP1","EVENTOUT"
"G10","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","","TSC_G4_IO3","DCMI_D2","LCD_SEG26","SDMMC1_D0","","","EVENTOUT"
"G11","PG6","I/O","","","","","","","I2C3_SMBA","","","","LPUART1_DE/LPUART1_RTS","","","","","","","EVENTOUT"
"G12","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","DFSDM1_DATIN3","","","TSC_G4_IO2","DCMI_D1","LCD_SEG25","SDMMC1_D7","SAI2_MCLK_B","","EVENTOUT"
"G13","VDD","Power","","","","","","","","","","","","","","","","","",""
"H1","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"H2","VSS","Power","","","","","","","","","","","","","","","","","",""
"H3","NRST","Reset","","","","","","","","","","","","","","","","","",""
"H4","PF10","I/O","","","","","","QUADSPI_CLK","","","","","","","DCMI_D11","","","","TIM15_CH2","EVENTOUT"
"H5","PC4","I/O","","","","","","","","","","USART3_TX","","","QUADSPI_BK2_IO3","LCD_SEG22","","","","EVENTOUT"
"H6","PG1","I/O","","","","","","","","","","","","TSC_G8_IO4","","","FMC_A11","","","EVENTOUT"
"H7","PE10","I/O","","","","TIM1_CH2N","","","","","DFSDM1_DATIN4","","","TSC_G5_IO1","QUADSPI_CLK","","FMC_D7/FMC_DA7","SAI1_MCLK_B","","EVENTOUT"
"H8","PB11","I/O","","","","TIM2_CH4","","I2C4_SDA","I2C2_SDA","","DFSDM1_CKIN7","USART3_RX","LPUART1_TX","","QUADSPI_BK1_NCS","LCD_SEG11","COMP2_OUT","","","EVENTOUT"
"H9","PG8","I/O","","","","","","","I2C3_SDA","","","","LPUART1_RX","","","","","","","EVENTOUT"
"H10","PG7","I/O","","","","","","","I2C3_SCL","","","","LPUART1_TX","","","","FMC_INT","SAI1_MCLK_A","","EVENTOUT"
"H11","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","LCD_SEG35","FMC_D1/FMC_DA1","","","EVENTOUT"
"H12","VSS","Power","","","","","","","","","","","","","","","","","",""
"H13","VDD","Power","","","","","","","","","","","","","","","","","",""
"J1","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"J2","PC0","I/O","","","","LPTIM1_IN1","I2C4_SCL","","I2C3_SCL","","DFSDM1_DATIN4","","LPUART1_RX","","","LCD_SEG18","","","LPTIM2_IN1","EVENTOUT"
"J3","PC1","I/O","","","SYS_TRACED0","LPTIM1_OUT","I2C4_SDA","SPI2_MOSI","I2C3_SDA","","DFSDM1_CKIN4","","LPUART1_TX","","QUADSPI_BK2_IO0","LCD_SEG19","","SAI1_SD_A","","EVENTOUT"
"J4","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","DFSDM1_CKOUT","","","","QUADSPI_BK2_IO1","LCD_SEG20","","","","EVENTOUT"
"J5","PC5","I/O","","","","","","","","","","USART3_RX","","","","LCD_SEG23","","","","EVENTOUT"
"J6","PG0","I/O","","","","","","","","","","","","TSC_G8_IO3","","","FMC_A10","","","EVENTOUT"
"J7","PE9","I/O","","","","TIM1_CH1","","","","","DFSDM1_CKOUT","","","","","","FMC_D6/FMC_DA6","SAI1_FS_B","","EVENTOUT"
"J8","PE15","I/O","","","","TIM1_BKIN","","TIM1_BKIN_COMP1","","SPI1_MOSI","","","","","QUADSPI_BK1_IO3","","FMC_D12/FMC_DA12","","","EVENTOUT"
"J9","PG5","I/O","","","","","","","","SPI1_NSS","","","LPUART1_CTS","","","","FMC_A15","SAI2_SD_B","","EVENTOUT"
"J10","PG4","I/O","","","","","","","","SPI1_MOSI","","","","","","","FMC_A14","SAI2_MCLK_B","","EVENTOUT"
"J11","PG3","I/O","","","","","","","","SPI1_MISO","","","","","","","FMC_A13","SAI2_FS_B","","EVENTOUT"
"J12","PG2","I/O","","","","","","","","SPI1_SCK","","","","","","","FMC_A12","SAI2_SCK_B","","EVENTOUT"
"J13","PD10","I/O","","","","","","","","","","USART3_CK","","TSC_G6_IO1","","LCD_SEG30","FMC_D15/FMC_DA15","SAI2_SCK_A","","EVENTOUT"
"K1","PC3","I/O","","","","LPTIM1_ETR","","","","SPI2_MOSI","","","","","QUADSPI_BK2_IO2","LCD_VLCD","","SAI1_SD_A","LPTIM2_ETR","EVENTOUT"
"K2","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"K3","PA0","I/O","","","","TIM2_CH1","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","","","SAI1_EXTCLK","TIM2_ETR","EVENTOUT"
"K4","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","TIM8_CH1N","","SPI1_SCK","","","","","","","","","LPTIM2_ETR","EVENTOUT"
"K5","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","SPI1_NSS","","USART3_CK","","","QUADSPI_BK1_IO1","LCD_SEG5","COMP1_OUT","SAI1_EXTCLK","","EVENTOUT"
"K6","PF15","I/O","","","","","","","I2C4_SDA","","","","","TSC_G8_IO2","","","FMC_A9","","","EVENTOUT"
"K7","PE8","I/O","","","","TIM1_CH1N","","","","","DFSDM1_CKIN2","","","","","","FMC_D5/FMC_DA5","SAI1_SCK_B","","EVENTOUT"
"K8","PE14","I/O","","","","TIM1_CH4","TIM1_BKIN2","TIM1_BKIN2_COMP2","","SPI1_MISO","","","","","QUADSPI_BK1_IO2","","FMC_D11/FMC_DA11","","","EVENTOUT"
"K9","PH4","I/O","","","","","","","I2C2_SCL","","","","","","","","","","","EVENTOUT"
"K10","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","LCD_SEG34","FMC_D0/FMC_DA0","","","EVENTOUT"
