"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"52","PC11","I/O","","","","EVENTOUT","","","","UART4_RX","I2S3_ext_SD/SPI3_MISO","USART3_RX","","","","","","","",""
"53","PC12","I/O","","","","EVENTOUT","","","","UART5_TX","I2S3_SD/SPI3_MOSI","USART3_CK","","","","","","","",""
"54","PD2","I/O","","","","EVENTOUT","TIM3_ETR","","","UART5_RX","","","","","","","","","",""
"55","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","TIM4_ETR","TSC_G5_IO1","","SPI1_SCK","I2S3_CK/SPI3_SCK","USART2_TX","","","TIM3_ETR","","","","","EVENTOUT"
"56","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","","SPI1_MISO","I2S3_ext_SD/SPI3_MISO","USART2_RX","","","TIM17_BKIN","","","","","EVENTOUT"
"57","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","USART2_CK","","","TIM17_CH1","","","","","EVENTOUT"
"58","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","","","","","","","EVENTOUT"
"59","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","","TIM3_CH4","","","","","EVENTOUT"
"60","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","TSC_SYNC","I2C1_SCL","","","","COMP1_OUT","CAN_RX","","","TIM1_BKIN","","","EVENTOUT"
"62","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","","I2C1_SDA","","IR_OUT","","COMP2_OUT","CAN_TX","","","","","","EVENTOUT"
"63","VSS","Power","","","","","","","","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","","","","","","","","",""
