"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"26","PF8","I/O","","","","","","","","SPI5_MISO","SAI1_SCK_B","","UART7_DE/UART7_RTS","TIM13_CH1","QUADSPI_BK1_IO0","",""
"27","PF9","I/O","","","","","","","","SPI5_MOSI","SAI1_FS_B","","UART7_CTS","TIM14_CH1","QUADSPI_BK1_IO1","",""
"28","PF10","I/O","","","","","","","","","","","","","","",""
"29","PH0-OSC_IN","I/O","","","","","","","","","","","","","","",""
"30","PH1-OSC_OUT","I/O","","","","","","","","","","","","","","",""
"31","NRST","Reset","","","","","","","","","","","","","","",""
"32","PC0","I/O","","","","","","","","","","","SAI2_FS_B","","","","FMC_SDNWE"
"33","PC1","I/O","","","SYS_TRACED0","","","","","I2S2_SD/SPI2_MOSI","SAI1_SD_A","","","","","",""
"34","PC2","I/O","","","","","","","","SPI2_MISO","","","","","","","FMC_SDNE0"
"35","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","","","FMC_SDCKE0"
"36","VDD","Power","","","","","","","","","","","","","","",""
"37","VSSA","Power","","","","","","","","","","","","","","",""
"38","VREF+","Power","","","","","","","","","","","","","","",""
"39","VDDA","Power","","","","","","","","","","","","","","",""
"40","PA0-WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","SAI2_SD_B","",""
"41","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","",""
"42","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","SAI2_SCK_B","","","",""
"43","PH2","I/O","","","","","","LPTIM1_IN2","","","","","","QUADSPI_BK2_IO0","SAI2_SCK_B","","FMC_SDCKE0"
"44","PH3","I/O","","","","","","","","","","","","QUADSPI_BK2_IO1","SAI2_MCLK_B","","FMC_SDNE0"
"45","PH4","I/O","","","","","","","I2C2_SCL","","","","","","","",""
"46","PH5","I/O","","","","","","","I2C2_SDA","SPI5_NSS","","","","","","","FMC_SDNWE"
"47","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","","",""
"48","BYPASS_REG","Reset","","","","","","","","","","","","","","",""
"49","VDD","Power","","","","","","","","","","","","","","",""
"50","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF"
"51","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","I2S1_CK/SPI1_SCK","","","","","","",""
"52","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","",""
"53","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","I2S1_SD/SPI1_MOSI","","","","TIM14_CH1","","","FMC_SDNWE"
"54","PC4","I/O","","","","","","","","I2S1_MCK","","","","","","","FMC_SDNE0"
"55","PC5","I/O","","","","","","","","","","","","","","","FMC_SDCKE0"
"56","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","UART4_CTS","","","",""
"57","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","","",""
"58","PB2","I/O","","","","","","","","","SAI1_SD_A","I2S3_SD/SPI3_MOSI","","QUADSPI_CLK","","",""
"59","PF11","I/O","","","","","","","","SPI5_MOSI","","","","","SAI2_SD_B","","FMC_SDNRAS"
