"Position","Name","Type","Signal","Label","TIM9_REMAP1","TIM2_REMAP2","TIM2_REMAP1","TIM1_REMAP1","TIM3_REMAP1","TIM1_REMAP2","TIM2_REMAP3","USART3_REMAP1","USART3_REMAP2","TIM4_REMAP1","TIM3_REMAP2","SPI1_REMAP1","CAN_REMAP2","USART2_REMAP1","USART1_REMAP1","CAN_REMAP1","I2C1_REMAP1"
"38","PE7","I/O","","","","","","","","TIM1_ETR","","","","","","","","","","",""
"39","PE8","I/O","","","","","","","","TIM1_CH1N","","","","","","","","","","",""
"40","PE9","I/O","","","","","","","","TIM1_CH1","","","","","","","","","","",""
"41","PE10","I/O","","","","","","","","TIM1_CH2N","","","","","","","","","","",""
"42","PE11","I/O","","","","","","","","TIM1_CH2","","","","","","","","","","",""
"43","PE12","I/O","","","","","","","","TIM1_CH3N","","","","","","","","","","",""
"44","PE13","I/O","","","","","","","","TIM1_CH3","","","","","","","","","","",""
"45","PE14","I/O","","","","","","","","TIM1_CH4","","","","","","","","","","",""
"46","PE15","I/O","","","","","","","","TIM1_BKIN","","","","","","","","","","",""
"47","PB10","I/O","","","","TIM2_CH3","","","","","TIM2_CH3","","","","","","","","","",""
"48","PB11","I/O","","","","TIM2_CH4","","","","","TIM2_CH4","","","","","","","","","",""
"49","VSS","Power","","","","","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","","","","","",""
"51","PB12","I/O","","","","","","","","","","","","","","","","","","",""
"52","PB13","I/O","","","","","","","","","","USART3_CTS","","","","","","","","",""
"53","PB14","I/O","","","","","","","","","","USART3_RTS","","","","","","","","",""
"54","PB15","I/O","","","","","","","","","","","","","","","","","","",""
"55","PD8","I/O","","","","","","","","","","","USART3_TX","","","","","","","",""
"56","PD9","I/O","","","","","","","","","","","USART3_RX","","","","","","","",""
"57","PD10","I/O","","","","","","","","","","","USART3_CK","","","","","","","",""
"58","PD11","I/O","","","","","","","","","","","USART3_CTS","","","","","","","",""
"59","PD12","I/O","","","","","","","","","","","USART3_RTS","TIM4_CH1","","","","","","",""
"60","PD13","I/O","","","","","","","","","","","","TIM4_CH2","","","","","","",""
"61","PD14","I/O","","","","","","","","","","","","TIM4_CH3","","","","","","",""
"62","PD15","I/O","","","","","","","","","","","","TIM4_CH4","","","","","","",""
"63","PC6","I/O","","","","","","","","","","","","","TIM3_CH1","","","","","",""
"64","PC7","I/O","","","","","","","","","","","","","TIM3_CH2","","","","","",""
"65","PC8","I/O","","","","","","","","","","","","","TIM3_CH3","","","","","",""
"66","PC9","I/O","","","","","","","","","","","","","TIM3_CH4","","","","","",""
"67","PA8","I/O","","","","","","TIM1_CH1","","","","","","","","","","","","",""
"68","PA9","I/O","","","","","","TIM1_CH2","","","","","","","","","","","","",""
"69","PA10","I/O","","","","","","TIM1_CH3","","","","","","","","","","","","",""
"70","PA11","I/O","","","","","","TIM1_CH4","","","","","","","","","","","","",""
"71","PA12","I/O","","","","","","TIM1_ETR","","","","","","","","","","","","",""
"72","PA13","I/O","","","","","","","","","","","","","","","","","","",""
"73","NC","NC","","","","","","","","","","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","","","","","","","","","","",""
