"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"F15","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","",""
"G1","PH0-OSC_IN","I/O","","","RCC_OSC_IN","","","","","","","","","","","","",""
"G2","VSS","Power","","","","","","","","","","","","","","","",""
"G3","VDD","Power","","","","","","","","","","","","","","","",""
"G4","PH3","I/O","","","","","","","","","","","","","","ETH_COL","",""
"G6","VSS","Power","","","","","","","","","","","","","","","",""
"G7","VSS","Power","","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","","",""
"G9","VSS","Power","","","","","","","","","","","","","","","",""
"G10","VSS","Power","","","","","","","","","","","","","","","",""
"G12","VSS","Power","","","","","","","","","","","","","","","",""
"G13","VDD","Power","","","","","","","","","","","","","","","",""
"G14","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0","DCMI_D2"
"G15","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7","DCMI_D1"
"H1","PH1-OSC_OUT","I/O","","","RCC_OSC_OUT","","","","","","","","","","","","",""
"H2","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FSMC_A2",""
"H3","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FSMC_A1",""
"H4","PH4","I/O","","","","","","","I2C2_SCL","","","","","","USB_OTG_HS_ULPI_NXT","","",""
"H6","VSS","Power","","","","","","","","","","","","","","","",""
"H7","VSS","Power","","","","","","","","","","","","","","","",""
"H8","VSS","Power","","","","","","","","","","","","","","","",""
"H9","VSS","Power","","","","","","","","","","","","","","","",""
"H10","VSS","Power","","","","","","","","","","","","","","","",""
"H12","VSS","Power","","","","","","","","","","","","","","","",""
"H13","VDD","Power","","","","","","","","","","","","","","","",""
"H14","PG8","I/O","","","","","","","","","","","USART6_RTS","","","ETH_PPS_OUT","",""
"H15","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0"
"J1","NRST","Reset","","","","","","","","","","","","","","","",""
"J2","PF3","I/O","","","","","","","","","","","","","","","FSMC_A3",""
"J3","PF4","I/O","","","","","","","","","","","","","","","FSMC_A4",""
"J4","PH5","I/O","","","","","","","I2C2_SDA","","","","","","","","",""
"J6","VSS","Power","","","","","","","","","","","","","","","",""
"J7","VSS","Power","","","","","","","","","","","","","","","",""
"J8","VSS","Power","","","","","","","","","","","","","","","",""
"J9","VSS","Power","","","","","","","","","","","","","","","",""
"J10","VSS","Power","","","","","","","","","","","","","","","",""
"J12","VDD","Power","","","","","","","","","","","","","","","",""
"J13","VDD","Power","","","","","","","","","","","","","","","",""
"J14","PG7","I/O","","","","","","","","","","","USART6_CK","","","","FSMC_INT3",""
"J15","PG6","I/O","","","","","","","","","","","","","","","FSMC_INT2",""
"K1","PF7","I/O","","","","","","TIM11_CH1","","","","","","","","","FSMC_NREG",""
"K2","PF6","I/O","","","","","","TIM10_CH1","","","","","","","","","FSMC_NIORD",""
"K3","PF5","I/O","","","","","","","","","","","","","","","FSMC_A5",""
"K4","VDD","Power","","","","","","","","","","","","","","","",""
"K6","VSS","Power","","","","","","","","","","","","","","","",""
"K7","VSS","Power","","","","","","","","","","","","","","","",""
"K8","VSS","Power","","","","","","","","","","","","","","","",""
"K9","VSS","Power","","","","","","","","","","","","","","","",""
"K10","VSS","Power","","","","","","","","","","","","","","","",""
"K12","PH12","I/O","","","","","TIM5_CH3","","","","","","","","","","","DCMI_D3"
"K13","PG5","I/O","","","","","","","","","","","","","","","FSMC_A15",""
"K14","PG4","I/O","","","","","","","","","","","","","","","FSMC_A14",""
"K15","PG3","I/O","","","","","","","","","","","","","","","FSMC_A13",""
"L1","PF10","I/O","","","","","","","","","","","","","","","FSMC_INTR",""
"L2","PF9","I/O","","","","","","","","","","","","TIM14_CH1","","","FSMC_CD",""
"L3","PF8","I/O","","","","","","","","","","","","TIM13_CH1","","","FSMC_NIOWR",""
"L4","BYPASS_REG","Reset","","","","","","","","","","","","","","","",""
"L12","PH11","I/O","","","","","TIM5_CH2","","","","","","","","","","","DCMI_D2"
"L13","PH10","I/O","","","","","TIM5_CH1","","","","","","","","","","","DCMI_D1"
