"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"53","PC12","I/O","","","","EVENTOUT","","HRTIM1_EEV1","","","","USART3_CK","","","","","","","",""
"54","PD2","I/O","","","","EVENTOUT","TIM3_ETR","","","","","","","","","","","","",""
"55","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","TSC_G5_IO1","","SPI1_SCK","","USART2_TX","","","TIM3_ETR","","HRTIM1_SCOUT","HRTIM1_EEV9","","EVENTOUT"
"56","PB4","I/O","","","SYS_NJTRST","TIM16_CH1","TIM3_CH1","TSC_G5_IO2","","SPI1_MISO","","USART2_RX","","","TIM17_BKIN","","","HRTIM1_EEV7","","EVENTOUT"
"57","PB5","I/O","","","","TIM16_BKIN","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","","USART2_CK","","","TIM17_CH1","","","HRTIM1_EEV6","","EVENTOUT"
"58","PB6","I/O","","","","TIM16_CH1N","","TSC_G5_IO3","I2C1_SCL","","","USART1_TX","","","","","HRTIM1_SCIN","HRTIM1_EEV4","","EVENTOUT"
"59","PB7","I/O","","","","TIM17_CH1N","","TSC_G5_IO4","I2C1_SDA","","","USART1_RX","","","TIM3_CH4","","","HRTIM1_EEV3","","EVENTOUT"
"60","BOOT0","Boot","","","","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","TIM16_CH1","","TSC_SYNC","I2C1_SCL","","","USART3_RX","","CAN_RX","","","TIM1_BKIN","HRTIM1_EEV8","","EVENTOUT"
"62","PB9","I/O","","","","TIM17_CH1","","","I2C1_SDA","","IR_OUT","USART3_TX","COMP2_OUT","CAN_TX","","","","HRTIM1_EEV5","","EVENTOUT"
"63","VSS","Power","","","","","","","","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","","","","","","","","",""
