"Position","Name","Type","Signal","Label","TIM2_REMAP2","TIM2_REMAP1","TIM3_REMAP1","TIM2_REMAP3","USART3_REMAP1","USART3_REMAP2","TIM4_REMAP1","TIM3_REMAP2","SPI1_REMAP1","USART2_REMAP1","USART1_REMAP1","I2C1_REMAP1"
"49","PF11","I/O","","","","","","","","","","","","","",""
"50","PF12","I/O","","","","","","","","","","","","","",""
"51","VSS","Power","","","","","","","","","","","","","",""
"52","VDD","Power","","","","","","","","","","","","","",""
"53","PF13","I/O","","","","","","","","","","","","","",""
"54","PF14","I/O","","","","","","","","","","","","","",""
"55","PF15","I/O","","","","","","","","","","","","","",""
"56","PG0","I/O","","","","","","","","","","","","","",""
"57","PG1","I/O","","","","","","","","","","","","","",""
"58","PE7","I/O","","","","","","","","","","","","","",""
"59","PE8","I/O","","","","","","","","","","","","","",""
"60","PE9","I/O","","","","","","","","","","","","","",""
"61","VSS","Power","","","","","","","","","","","","","",""
"62","VDD","Power","","","","","","","","","","","","","",""
"63","PE10","I/O","","","","","","","","","","","","","",""
"64","PE11","I/O","","","","","","","","","","","","","",""
"65","PE12","I/O","","","","","","","","","","","","","",""
"66","PE13","I/O","","","","","","","","","","","","","",""
"67","PE14","I/O","","","","","","","","","","","","","",""
"68","PE15","I/O","","","","","","","","","","","","","",""
"69","PB10","I/O","","","TIM2_CH3","","","TIM2_CH3","","","","","","","",""
"70","PB11","I/O","","","TIM2_CH4","","","TIM2_CH4","","","","","","","",""
"71","VSS","Power","","","","","","","","","","","","","",""
"72","VDD","Power","","","","","","","","","","","","","",""
"73","PB12","I/O","","","","","","","","","","","","","",""
"74","PB13","I/O","","","","","","","USART3_CTS","","","","","","",""
"75","PB14","I/O","","","","","","","USART3_RTS","","","","","","",""
"76","PB15","I/O","","","","","","","","","","","","","",""
"77","PD8","I/O","","","","","","","","USART3_TX","","","","","",""
"78","PD9","I/O","","","","","","","","USART3_RX","","","","","",""
"79","PD10","I/O","","","","","","","","USART3_CK","","","","","",""
"80","PD11","I/O","","","","","","","","USART3_CTS","","","","","",""
"81","PD12","I/O","","","","","","","","USART3_RTS","TIM4_CH1","","","","",""
"82","PD13","I/O","","","","","","","","","TIM4_CH2","","","","",""
"83","VSS","Power","","","","","","","","","","","","","",""
"84","VDD","Power","","","","","","","","","","","","","",""
"85","PD14","I/O","","","","","","","","","TIM4_CH3","","","","",""
"86","PD15","I/O","","","","","","","","","TIM4_CH4","","","","",""
"87","PG2","I/O","","","","","","","","","","","","","",""
"88","PG3","I/O","","","","","","","","","","","","","",""
"89","PG4","I/O","","","","","","","","","","","","","",""
"90","PG5","I/O","","","","","","","","","","","","","",""
"91","PG6","I/O","","","","","","","","","","","","","",""
"92","PG7","I/O","","","","","","","","","","","","","",""
"93","PG8","I/O","","","","","","","","","","","","","",""
"94","VSS","Power","","","","","","","","","","","","","",""
"95","VDD","Power","","","","","","","","","","","","","",""
"96","PC6","I/O","","","","","","","","","","TIM3_CH1","","","",""
"97","PC7","I/O","","","","","","","","","","TIM3_CH2","","","",""
"98","PC8","I/O","","","","","","","","","","TIM3_CH3","","","",""
"99","PC9","I/O","","","","","","","","","","TIM3_CH4","","","",""
