"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"28","PB2","I/O","","","","LPTIM1_OUT","","","","","DFSDM1_CKIN0","","","QUADSPI_CLK","","","","","","EVENTOUT"
"29","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S3_MCK","USART3_TX","","FMPI2C1_SCL","DFSDM2_CKOUT","","SDIO_D7","","","EVENTOUT"
"30","VCAP_1","Power","","","","","","","","","","","","","","","","","",""
"31","VSS","Power","","","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/I2S3_CK/SPI2_NSS","I2S4_WS/SPI4_NSS","SPI3_SCK","USART3_CK","CAN2_RX","DFSDM1_DATIN1","UART5_RX","","","","EVENTOUT"
"34","PB13","I/O","","","","TIM1_CH1N","","","FMPI2C1_SMBA","I2S2_CK/SPI2_SCK","I2S4_CK/SPI4_SCK","","USART3_CTS","CAN2_TX","DFSDM1_CKIN1","UART5_TX","","","","EVENTOUT"
"35","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","FMPI2C1_SDA","SPI2_MISO","I2S2_ext_SD","USART3_RTS","DFSDM1_DATIN2","TIM12_CH1","FSMC_D0/FSMC_DA0","","SDIO_D6","","","EVENTOUT"
"36","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","FMPI2C1_SCL","I2S2_SD/SPI2_MOSI","","","DFSDM1_CKIN2","TIM12_CH2","","","SDIO_CK","","","EVENTOUT"
"37","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","FMPI2C1_SCL","I2S2_MCK","DFSDM1_CKIN3","DFSDM2_DATIN6","USART6_TX","","FSMC_D1/FSMC_DA1","","SDIO_D6","","","EVENTOUT"
"38","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","FMPI2C1_SDA","I2S2_CK/SPI2_SCK","I2S3_MCK","DFSDM2_CKIN6","USART6_RX","","DFSDM1_DATIN3","","SDIO_D7","","","EVENTOUT"
"39","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","DFSDM2_CKIN3","USART6_CK","QUADSPI_BK1_IO2","","","SDIO_D0","","","EVENTOUT"
"40","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","DFSDM2_DATIN3","","QUADSPI_BK1_IO0","","","SDIO_D1","","","EVENTOUT"
"41","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","DFSDM1_CKOUT","USART1_CK","UART7_RX","","USB_OTG_FS_SOF","CAN3_RX","SDIO_D1","","","EVENTOUT"
"42","PA9","I/O","","","","TIM1_CH2","","DFSDM2_CKIN3","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","USB_OTG_FS_VBUS","","SDIO_D2","","","EVENTOUT"
"43","PA10","I/O","","","","TIM1_CH3","","DFSDM2_DATIN3","","I2S2_SD/SPI2_MOSI","I2S5_SD/SPI5_MOSI","USART1_RX","","","USB_OTG_FS_ID","","","","","EVENTOUT"
"44","PA11","I/O","","","","TIM1_CH4","","DFSDM2_CKIN5","","I2S2_WS/SPI2_NSS","SPI4_MISO","USART1_CTS","USART6_TX","CAN1_RX","USB_OTG_FS_DM","UART4_RX","","","","EVENTOUT"
"45","PA12","I/O","","","","TIM1_ETR","","DFSDM2_DATIN5","","SPI2_MISO","SPI5_MISO","USART1_RTS","USART6_RX","CAN1_TX","USB_OTG_FS_DP","UART4_TX","","","","EVENTOUT"
"46","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
"49","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","","EVENTOUT"
"50","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART1_TX","UART7_TX","","SAI1_MCLK_A","CAN3_TX","","","","EVENTOUT"
