"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"D8","PD3","I/O","","","","","","","","SPI2_MISO","DFSDM1_DATIN0","USART2_CTS","","","","","FMC_CLK","","","EVENTOUT"
"D9","PD2","I/O","","","","","TIM3_ETR","","","","","USART3_DE/USART3_RTS","UART5_RX","TSC_SYNC","","","SDMMC1_CMD","","","EVENTOUT"
"D10","PA15 (JTDI)","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","","","SPI1_NSS","SPI3_NSS","","UART4_DE/UART4_RTS","TSC_G3_IO1","","","","SAI2_FS_B","","EVENTOUT"
"D11","PA9","I/O","","","","TIM1_CH2","","","","","","USART1_TX","","","","","","","TIM15_BKIN","EVENTOUT"
"D12","PA8","I/O","","","RCC_MCO","TIM1_CH1","","","","","","USART1_CK","","","","","","","LPTIM2_OUT","EVENTOUT"
"E1","PF6","I/O","","","","TIM5_ETR","TIM5_CH1","","","","","","","","","","","SAI1_SD_B","","EVENTOUT"
"E2","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1","","","EVENTOUT"
"E3","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0","","","EVENTOUT"
"E4","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","","","EVENTOUT"
"E5","VSS","Power","","","","","","","","","","","","","","","","","",""
"E6","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"E7","VDD","Power","","","","","","","","","","","","","","","","","",""
"E8","VSS","Power","","","","","","","","","","","","","","","","","",""
"E9","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"E10","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","","DFSDM1_CKIN3","","","TSC_G4_IO1","","","SDMMC1_D6","SAI2_MCLK_A","","EVENTOUT"
"E11","PC9","I/O","","","","TIM8_BKIN2","TIM3_CH4","TIM8_CH4","","","","","","TSC_G4_IO4","","","SDMMC1_D1","SAI2_EXTCLK","TIM8_BKIN2_COMP1","EVENTOUT"
"E12","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","","TSC_G4_IO3","","","SDMMC1_D0","","","EVENTOUT"
"F1","PF8","I/O","","","","","TIM5_CH3","","","","","","","","","","","SAI1_SCK_B","","EVENTOUT"
"F2","PF7","I/O","","","","","TIM5_CH2","","","","","","","","","","","SAI1_MCLK_B","","EVENTOUT"
"F3","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","","","EVENTOUT"
"F4","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","","","EVENTOUT"
"F5","VDD","Power","","","","","","","","","","","","","","","","","",""
"F6","VSS","Power","","","","","","","","","","","","","","","","","",""
"F7","VSS","Power","","","","","","","","","","","","","","","","","",""
"F8","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"F9","PG7","I/O","","","","","","","I2C3_SCL","","","","LPUART1_TX","","","","FMC_INT3","","","EVENTOUT"
"F10","PG6","I/O","","","","","","","I2C3_SMBA","","","","LPUART1_DE/LPUART1_RTS","","","","","","","EVENTOUT"
"F11","PG8","I/O","","","","","","","I2C3_SDA","","","","LPUART1_RX","","","","","","","EVENTOUT"
"F12","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","DFSDM1_DATIN3","","","TSC_G4_IO2","","","SDMMC1_D7","SAI2_MCLK_B","","EVENTOUT"
"G1","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"G2","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"G3","PF10","I/O","","","","","","","","","","","","","","","","","TIM15_CH2","EVENTOUT"
"G4","PF9","I/O","","","","","TIM5_CH4","","","","","","","","","","","SAI1_FS_B","TIM15_CH1","EVENTOUT"
"G5","VDD","Power","","","","","","","","","","","","","","","","","",""
"G6","VSS","Power","","","","","","","","","","","","","","","","","",""
"G7","VSS","Power","","","","","","","","","","","","","","","","","",""
"G8","VDD","Power","","","","","","","","","","","","","","","","","",""
"G9","PG4","I/O","","","","","","","","SPI1_MOSI","","","","","","","FMC_A14","SAI2_MCLK_B","","EVENTOUT"
"G10","PD13","I/O","","","","","TIM4_CH2","","","","","","","TSC_G6_IO4","","","FMC_A18","","LPTIM2_OUT","EVENTOUT"
"G11","PG3","I/O","","","","","","","","SPI1_MISO","","","","","","","FMC_A13","SAI2_FS_B","","EVENTOUT"
"G12","PG5","I/O","","","","","","","","SPI1_NSS","","","LPUART1_CTS","","","","FMC_A15","SAI2_SD_B","","EVENTOUT"
"H1","PC2","I/O","","","","LPTIM1_IN2","","","","SPI2_MISO","DFSDM1_CKOUT","","","","","","","","","EVENTOUT"
"H2","PC0","I/O","","","","LPTIM1_IN1","","","I2C3_SCL","","DFSDM1_DATIN4","","LPUART1_RX","","","","","","LPTIM2_IN1","EVENTOUT"
