"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"F3","PB0","I/O","","","","","TIM3_CH3","TSC_G3_IO2","","","TIM1_CH2N","","","","","","","","","EVENTOUT"
"F4","PA7","I/O","","","","TIM17_CH1","TIM3_CH2","TSC_G2_IO4","","SPI1_MOSI","TIM1_CH1N","","","","","","","","","EVENTOUT"
"F5","PA4","I/O","","","","","TIM3_CH2","TSC_G2_IO1","","SPI1_NSS","","USART2_CK","","","","","","","","EVENTOUT"
"F6","VSS","Power","","","","","","","","","","","","","","","","","",""
"F7","VREF+","Power","","","","","","","","","","","","","","","","","",""
"G1","PB11","I/O","","","","TIM2_CH4","","TSC_G6_IO1","","","","USART3_RX","","","","","","HRTIM1_FLT4","","EVENTOUT"
"G2","PB10","I/O","","","","TIM2_CH3","","TSC_SYNC","","","","USART3_TX","","","","","","HRTIM1_FLT3","","EVENTOUT"
"G3","PB1","I/O","","","","","TIM3_CH4","TSC_G3_IO3","","","TIM1_CH3N","","COMP4_OUT","","","","","HRTIM1_SCOUT","","EVENTOUT"
"G4","PC4","I/O","","","","EVENTOUT","TIM1_ETR","","","","","USART1_TX","","","","","","","",""
"G5","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","SPI1_SCK","","","","","","","","","","EVENTOUT"
"G6","VDD","Power","","","","","","","","","","","","","","","","","",""
"G7","PA1","I/O","","","","TIM2_CH2","","TSC_G1_IO2","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
