"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"59","PD12","I/O","","","","EVENTOUT","TIM4_CH1","TSC_G8_IO1","","","","USART3_DE/USART3_RTS","","","","","FMC_A17","","",""
"60","PD13","I/O","","","","EVENTOUT","TIM4_CH2","TSC_G8_IO2","","","","","","","","","FMC_A18","","",""
"61","PD14","I/O","","","","EVENTOUT","TIM4_CH3","TSC_G8_IO3","","","","","","","","","FMC_D0","","",""
"62","PD15","I/O","","","","EVENTOUT","TIM4_CH4","TSC_G8_IO4","","","SPI2_NSS","","","","","","FMC_D1","","",""
"63","PC6","I/O","","","","EVENTOUT","TIM3_CH1","","","","I2S2_MCK","COMP6_OUT","","","","","","","",""
"64","PC7","I/O","","","","EVENTOUT","TIM3_CH2","","","","I2S3_MCK","","","","","","","","",""
"65","PC8","I/O","","","","EVENTOUT","TIM3_CH3","","","","","","","","","","","","",""
"66","PC9","I/O","","","","EVENTOUT","TIM3_CH4","I2C3_SDA","","I2S_CKIN","","","","","","","","","",""
"67","PA8","I/O","","","RCC_MCO","","","I2C3_SCL","I2C2_SMBA","I2S2_MCK","TIM1_CH1","USART1_CK","","","TIM4_ETR","","","","","EVENTOUT"
"68","PA9","I/O","","","","","I2C3_SMBA","TSC_G4_IO1","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","","","EVENTOUT"
"69","PA10","I/O","","","","TIM17_BKIN","","TSC_G4_IO2","I2C2_SDA","I2S2_ext_SD/SPI2_MISO","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","","","","","EVENTOUT"
"70","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS","COMP1_OUT","CAN_RX","TIM4_CH1","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
