"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"29","PA4","I/O","","","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC"
"30","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","",""
"31","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","","","DCMI_PIXCLK"
"32","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","TIM14_CH1","","ETH_CRS_DV/ETH_RX_DV","",""
"33","PC4","I/O","","","","","","","","","","","","","","ETH_RXD0","",""
"34","PC5","I/O","","","","","","","","","","","","","","ETH_RXD1","",""
"35","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","","","USB_OTG_HS_ULPI_D1","ETH_RXD2","",""
"36","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","ETH_RXD3","",""
"37","PB2","I/O","","","","","","","","","","","","","","","",""
"38","PE7","I/O","","","","TIM1_ETR","","","","","","","","","","","FSMC_D4/FSMC_DA4",""
"39","PE8","I/O","","","","TIM1_CH1N","","","","","","","","","","","FSMC_D5/FSMC_DA5",""
"40","PE9","I/O","","","","TIM1_CH1","","","","","","","","","","","FSMC_D6/FSMC_DA6",""
"41","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","","","FSMC_D7/FSMC_DA7",""
"42","PE11","I/O","","","","TIM1_CH2","","","","","","","","","","","FSMC_D8/FSMC_DA8",""
"43","PE12","I/O","","","","TIM1_CH3N","","","","","","","","","","","FSMC_D9/FSMC_DA9",""
"44","PE13","I/O","","","","TIM1_CH3","","","","","","","","","","","FSMC_D10/FSMC_DA10",""
"45","PE14","I/O","","","","TIM1_CH4","","","","","","","","","","","FSMC_D11/FSMC_DA11",""
"46","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","","FSMC_D12/FSMC_DA12",""
"47","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_SCK/SPI2_SCK","","USART3_TX","","","USB_OTG_HS_ULPI_D3","ETH_RX_ER","",""
"48","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","USB_OTG_HS_ULPI_D4","ETH_TX_EN","",""
"49","VCAP_1","Power","","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","","",""
"51","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","ETH_TXD0","USB_OTG_HS_ID",""
"52","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_SCK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","ETH_TXD1","USB_OTG_HS_VBUS",""
"53","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM",""
"54","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP",""
"55","PD8","I/O","","","","","","","","","","USART3_TX","","","","","FSMC_D13/FSMC_DA13",""
"56","PD9","I/O","","","","","","","","","","USART3_RX","","","","","FSMC_D14/FSMC_DA14",""
"57","PD10","I/O","","","","","","","","","","USART3_CK","","","","","FSMC_D15/FSMC_DA15",""
"58","PD11","I/O","","","","","","","","","","USART3_CTS","","","","","FSMC_A16/FSMC_CLE",""
"59","PD12","I/O","","","","","TIM4_CH1","","","","","USART3_RTS","","","","","FSMC_A17/FSMC_ALE",""
"60","PD13","I/O","","","","","TIM4_CH2","","","","","","","","","","FSMC_A18",""
"61","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","","FSMC_D0/FSMC_DA0",""
"62","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","FSMC_D1/FSMC_DA1",""
"63","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0"
"64","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7","DCMI_D1"
"65","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0","DCMI_D2"
