"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"47","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","SPI2_SCK","DFSDM1_DATIN7","USART3_TX","LPUART1_RX","","QUADSPI_CLK","LCD_SEG10","COMP1_OUT","SAI1_SCK_A","","EVENTOUT"
"48","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","DFSDM1_CKIN7","USART3_RX","LPUART1_TX","","QUADSPI_NCS","LCD_SEG11","COMP2_OUT","","","EVENTOUT"
"49","VSS","Power","","","","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","","","","",""
"51","PB12","I/O","","","","TIM1_BKIN","","TIM1_BKIN_COMP2","I2C2_SMBA","SPI2_NSS","DFSDM1_DATIN1","USART3_CK","LPUART1_DE/LPUART1_RTS","TSC_G1_IO1","","LCD_SEG12","SWPMI1_IO","SAI2_FS_A","TIM15_BKIN","EVENTOUT"
"52","PB13","I/O","","","","TIM1_CH1N","","","I2C2_SCL","SPI2_SCK","DFSDM1_CKIN1","USART3_CTS","LPUART1_CTS","TSC_G1_IO2","","LCD_SEG13","SWPMI1_TX","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"53","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","I2C2_SDA","SPI2_MISO","DFSDM1_DATIN2","USART3_DE/USART3_RTS","","TSC_G1_IO3","","LCD_SEG14","SWPMI1_RX","SAI2_MCLK_A","TIM15_CH1","EVENTOUT"
"54","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","SPI2_MOSI","DFSDM1_CKIN2","","","TSC_G1_IO4","","LCD_SEG15","SWPMI1_SUSPEND","SAI2_SD_A","TIM15_CH2","EVENTOUT"
"55","PD8","I/O","","","","","","","","","","USART3_TX","","","","LCD_SEG28","FMC_D13/FMC_DA13","","","EVENTOUT"
"56","PD9","I/O","","","","","","","","","","USART3_RX","","","","LCD_SEG29","FMC_D14/FMC_DA14","SAI2_MCLK_A","","EVENTOUT"
"57","PD10","I/O","","","","","","","","","","USART3_CK","","TSC_G6_IO1","","LCD_SEG30","FMC_D15/FMC_DA15","SAI2_SCK_A","","EVENTOUT"
"58","PD11","I/O","","","","","","","","","","USART3_CTS","","TSC_G6_IO2","","LCD_SEG31","FMC_A16","SAI2_SD_A","LPTIM2_ETR","EVENTOUT"
"59","PD12","I/O","","","","","TIM4_CH1","","","","","USART3_DE/USART3_RTS","","TSC_G6_IO3","","LCD_SEG32","FMC_A17","SAI2_FS_A","LPTIM2_IN1","EVENTOUT"
"60","PD13","I/O","","","","","TIM4_CH2","","","","","","","TSC_G6_IO4","","LCD_SEG33","FMC_A18","","LPTIM2_OUT","EVENTOUT"
"61","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","LCD_SEG34","FMC_D0/FMC_DA0","","","EVENTOUT"
"62","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","LCD_SEG35","FMC_D1/FMC_DA1","","","EVENTOUT"
"63","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","","DFSDM1_CKIN3","","","TSC_G4_IO1","","LCD_SEG24","SDMMC1_D6","SAI2_MCLK_A","","EVENTOUT"
"64","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","DFSDM1_DATIN3","","","TSC_G4_IO2","","LCD_SEG25","SDMMC1_D7","SAI2_MCLK_B","","EVENTOUT"
"65","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","","TSC_G4_IO3","","LCD_SEG26","SDMMC1_D0","","","EVENTOUT"
"66","PC9","I/O","","","","TIM8_BKIN2","TIM3_CH4","TIM8_CH4","","","","","","TSC_G4_IO4","USB_OTG_FS_NOE","LCD_SEG27","SDMMC1_D1","SAI2_EXTCLK","TIM8_BKIN2_COMP1","EVENTOUT"
