"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"49","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","TIMX_IC3/TS_G5_IO2"
"50","PA15","I/O","","","SYS_JTDI","TIM2_CH1","","","","SPI1_NSS","","","","","","","","","TIMX_IC4/TS_G5_IO3"
"51","PC10","I/O","","","","","","","","","","USART3_TX","","","","","","","TIMX_IC3"
"52","PC11","I/O","","","","","","","","","","USART3_RX","","","","","","","TIMX_IC4"
"53","PC12","I/O","","","","","","","","","","USART3_CK","","","","","","","TIMX_IC1"
"54","PD2","I/O","","","","","TIM3_ETR","","","","","","","","","","","","TIMX_IC3"
"55","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","","","SPI1_SCK","","","","","","","","",""
"56","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","","","","","","","","","TS_G6_IO1"
"57","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","","","","","","","","","TS_G6_IO2"
"58","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","","","","","TS_G6_IO3"
"59","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","","","TS_G6_IO4"
"60","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"61","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","","","","","",""
"62","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","","","","","","","","","",""
"63","VSS","Power","","","","","","","","","","","","","","","","",""
"64","VDD","Power","","","","","","","","","","","","","","","","",""
