"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12"
"32","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","","","SPI1_MOSI","","","","","","",""
"33","PC4","I/O","","","","","","","","","","","","","","",""
"34","PC5","I/O","","","","","","","","","","","","","","",""
"35","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","","","","","","","","","",""
"36","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","","","","","","","","","",""
"37","PB2","I/O","","","","","","","","","","","","","","",""
"38","PE7","I/O","","","","TIM1_ETR","","","","","","","","","","",""
"39","PE8","I/O","","","","TIM1_CH1N","","","","","","","","","","",""
"40","PE9","I/O","","","","TIM1_CH1","","","","","","","","","","",""
"41","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","","",""
"42","PE11","I/O","","","","TIM1_CH2","","","","SPI4_NSS","","","","","","",""
"43","PE12","I/O","","","","TIM1_CH3N","","","","SPI4_SCK","","","","","","",""
"44","PE13","I/O","","","","TIM1_CH3","","","","SPI4_MISO","","","","","","",""
"45","PE14","I/O","","","","TIM1_CH4","","","","SPI4_MOSI","","","","","","",""
"46","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","",""
"47","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","","","","","",""
"48","VCAP1","Power","","","","","","","","","","","","","","",""
"49","VSS","Power","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","",""
"51","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","","","","","",""
"52","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","","","","","",""
"53","PB14","I/O","","","","TIM1_CH2N","","","","SPI2_MISO","I2S2_ext_SD","","","","","",""
"54","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","I2S2_SD/SPI2_MOSI","","","","","","",""
"55","PD8","I/O","","","","","","","","","","","","","","",""
"56","PD9","I/O","","","","","","","","","","","","","","",""
"57","PD10","I/O","","","","","","","","","","","","","","",""
"58","PD11","I/O","","","","","","","","","","","","","","",""
"59","PD12","I/O","","","","","TIM4_CH1","","","","","","","","","",""
"60","PD13","I/O","","","","","TIM4_CH2","","","","","","","","","",""
"61","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","",""
"62","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","",""
"63","PC6","I/O","","","","","TIM3_CH1","","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6"
"64","PC7","I/O","","","","","TIM3_CH2","","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7"
"65","PC8","I/O","","","","","TIM3_CH3","","","","","","USART6_CK","","","","SDIO_D0"
"66","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1"
"67","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","",""
