"Position","Name","Type","Signal","Label","SPI1_REMAP1","TIM3_REMAP1","TIM2_REMAP1","TIM2_REMAP3","USART2_REMAP1","TIM9_REMAP1","CAN_REMAP1","I2C1_REMAP1","USART3_REMAP1","TIM1_REMAP1","USART1_REMAP1","CAN_REMAP2","TIM3_REMAP2","TIM11_REMAP1","TIM10_REMAP1","TIM14_REMAP1","TIM13_REMAP1","TIM1_REMAP2","USART3_REMAP2","TIM2_REMAP2","TIM4_REMAP1"
"E12","PA8","I/O","","","","","","","","","","","","TIM1_CH1","","","","","","","","","","",""
"F1","NRST","Reset","","","","","","","","","","","","","","","","","","","","","","",""
"F2","PF7","I/O","","","","","","","","","","","","","","","","TIM11_CH1","","","","","","",""
"F3","PF6","I/O","","","","","","","","","","","","","","","","","TIM10_CH1","","","","","",""
"F4","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F5","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F6","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F7","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F8","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F9","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F10","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"F11","PC8","I/O","","","","","","","","","","","","","","","TIM3_CH3","","","","","","","",""
"F12","PC7","I/O","","","","","","","","","","","","","","","TIM3_CH2","","","","","","","",""
"G1","PF10","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"G2","PF9","I/O","","","","","","","","","","","","","","","","","","TIM14_CH1","","","","",""
"G3","PF8","I/O","","","","","","","","","","","","","","","","","","","TIM13_CH1","","","",""
"G4","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G5","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G6","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G7","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G9","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G10","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"G11","PG8","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"G12","PC6","I/O","","","","","","","","","","","","","","","TIM3_CH1","","","","","","","",""
"H1","PC0","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"H2","PC1","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"H3","PC2","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"H4","PC3","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"H5","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"H6","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"H7","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"H8","PE11","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH2","","",""
"H9","PD11","I/O","","","","","","","","","","","","","","","","","","","","","USART3_CTS","",""
"H10","PG7","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"H11","PG6","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"H12","PG5","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J1","VSSA","Power","","","","","","","","","","","","","","","","","","","","","","",""
"J2","PA0-WKUP","I/O","","","","","","","","","","","","","","","","","","","","","","TIM2_CH1/TIM2_ETR",""
"J3","PA4","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J4","PC4","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J5","PB2","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J6","PG1","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J7","PE10","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH2N","","",""
"J8","PE12","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH3N","","",""
"J9","PD10","I/O","","","","","","","","","","","","","","","","","","","","","USART3_CK","",""
"J10","PG4","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J11","PG3","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"J12","PG2","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"K1","VREF-","Power","","","","","","","","","","","","","","","","","","","","","","",""
"K2","PA1","I/O","","","","","","","","","","","","","","","","","","","","","","TIM2_CH2",""
"K3","PA5","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"K4","PC5","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"K5","PF13","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"K6","PG0","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"K7","PE9","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH1","","",""
"K8","PE13","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH3","","",""
"K9","PD9","I/O","","","","","","","","","","","","","","","","","","","","","USART3_RX","",""
"K10","PD13","I/O","","","","","","","","","","","","","","","","","","","","","","","TIM4_CH2"
"K11","PD14","I/O","","","","","","","","","","","","","","","","","","","","","","","TIM4_CH3"
"K12","PD15","I/O","","","","","","","","","","","","","","","","","","","","","","","TIM4_CH4"
"L1","VREF+","Power","","","","","","","","","","","","","","","","","","","","","","",""
"L2","PA2","I/O","","","","","TIM2_CH3","","","","","","","","","","","","","","","","","",""
"L3","PA6","I/O","","","","","","","","","","","","TIM1_BKIN","","","","","","","","","","",""
"L4","PB0","I/O","","","","TIM3_CH3","","","","","","","","TIM1_CH2N","","","","","","","","","","",""
"L5","PF12","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"L6","PF15","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"L7","PE8","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH1N","","",""
"L8","PE14","I/O","","","","","","","","","","","","","","","","","","","","TIM1_CH4","","",""
"L9","PD8","I/O","","","","","","","","","","","","","","","","","","","","","USART3_TX","",""
"L10","PD12","I/O","","","","","","","","","","","","","","","","","","","","","USART3_RTS","","TIM4_CH1"
"L11","PB14","I/O","","","","","","","","","","","USART3_RTS","","","","","","","","","","","",""
"L12","PB15","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"M1","VDDA","Power","","","","","","","","","","","","","","","","","","","","","","",""
"M2","PA3","I/O","","","","","TIM2_CH4","","","","","","","","","","","","","","","","","",""
"M3","PA7","I/O","","","","","","","","","","","","TIM1_CH1N","","","","","","","","","","",""
"M4","PB1","I/O","","","","TIM3_CH4","","","","","","","","TIM1_CH3N","","","","","","","","","","",""
"M5","PF11","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"M6","PF14","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"M7","PE7","I/O","","","","","","","","","","","","","","","","","","","","TIM1_ETR","","",""
"M8","PE15","I/O","","","","","","","","","","","","","","","","","","","","TIM1_BKIN","","",""
"M9","PB10","I/O","","","","","","TIM2_CH3","","","","","","","","","","","","","","","","TIM2_CH3",""
"M10","PB11","I/O","","","","","","TIM2_CH4","","","","","","","","","","","","","","","","TIM2_CH4",""
"M11","PB12","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"M12","PB13","I/O","","","","","","","","","","","USART3_CTS","","","","","","","","","","","",""
