"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"45","PE14","I/O","","","TIM1_CH4","I2S1_MCK/SPI1_MISO","","","","","",""
"46","PE15","I/O","","","TIM1_BKIN","I2S1_SD/SPI1_MOSI","","","","","",""
"47","PB10","I/O","","","CEC","I2C2_SCL","TIM2_CH3","TSC_SYNC","USART3_TX","I2S2_CK/SPI2_SCK","",""
"48","PB11","I/O","","","EVENTOUT","I2C2_SDA","TIM2_CH4","TSC_G6_IO1","USART3_RX","","",""
"49","VSS","Power","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","",""
"51","PB12","I/O","","","I2S2_WS/SPI2_NSS","EVENTOUT","TIM1_BKIN","TSC_G6_IO2","USART3_CK","TIM15_BKIN","",""
"52","PB13","I/O","","","I2S2_CK/SPI2_SCK","","TIM1_CH1N","TSC_G6_IO3","USART3_CTS","I2C2_SCL","",""
"53","PB14","I/O","","","I2S2_MCK/SPI2_MISO","TIM15_CH1","TIM1_CH2N","TSC_G6_IO4","USART3_DE/USART3_RTS","I2C2_SDA","",""
"54","PB15","I/O","","","I2S2_SD/SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","","",""
"55","PD8","I/O","","","USART3_TX","","","","","","",""
"56","PD9","I/O","","","USART3_RX","","","","","","",""
"57","PD10","I/O","","","USART3_CK","","","","","","",""
"58","PD11","I/O","","","USART3_CTS","","","","","","",""
"59","PD12","I/O","","","USART3_DE/USART3_RTS","TSC_G8_IO1","","","","","",""
"60","PD13","I/O","","","","TSC_G8_IO2","","","","","",""
"61","PD14","I/O","","","","TSC_G8_IO3","","","","","",""
"62","PD15","I/O","","","CRS_SYNC","TSC_G8_IO4","","","","","",""
"63","PC6","I/O","","","TIM3_CH1","","","","","","",""
"64","PC7","I/O","","","TIM3_CH2","","","","","","",""
"65","PC8","I/O","","","TIM3_CH3","","","","","","",""
"66","PC9","I/O","","","TIM3_CH4","","","","","","",""
"67","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","CRS_SYNC","","",""
"68","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","TSC_G4_IO1","","","",""
"69","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","TSC_G4_IO2","","","",""
"70","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","TSC_G4_IO3","CAN_RX","","","COMP1_OUT"
"71","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","CAN_TX","","","COMP2_OUT"
"72","PA13","I/O","","","SYS_SWDIO","IR_OUT","USB_NOE","","","","",""
"73","PF6","I/O","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","",""
"75","VDDIO2","Power","","","","","","","","","",""
"76","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"77","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","USART4_DE/USART4_RTS","","",""
"78","PC10","I/O","","","USART4_TX","USART3_TX","","","","","",""
"79","PC11","I/O","","","USART4_RX","USART3_RX","","","","","",""
"80","PC12","I/O","","","USART4_CK","USART3_CK","","","","","",""
"81","PD0","I/O","","","CAN_RX","I2S2_WS/SPI2_NSS","","","","","",""
"82","PD1","I/O","","","CAN_TX","I2S2_CK/SPI2_SCK","","","","","",""
"83","PD2","I/O","","","TIM3_ETR","USART3_DE/USART3_RTS","","","","","",""
"84","PD3","I/O","","","USART2_CTS","I2S2_MCK/SPI2_MISO","","","","","",""
"85","PD4","I/O","","","USART2_DE/USART2_RTS","I2S2_SD/SPI2_MOSI","","","","","",""
"86","PD5","I/O","","","USART2_TX","","","","","","",""
"87","PD6","I/O","","","USART2_RX","","","","","","",""
"88","PD7","I/O","","","USART2_CK","","","","","","",""
"89","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","","",""
"90","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","TIM17_BKIN","",""
"91","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","","",""
"92","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"93","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","USART4_CTS","","",""
"94","BOOT0","Boot","","","","","","","","","",""
"95","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","CAN_RX","","",""
"96","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","CAN_TX","I2S2_WS/SPI2_NSS","",""
"97","PE0","I/O","","","TIM16_CH1","EVENTOUT","","","","","",""
"98","PE1","I/O","","","TIM17_CH1","EVENTOUT","","","","","",""
"99","VSS","Power","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","",""
