"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"F3","PA2","I/O","","","TIM21_CH1","","TIM2_CH3","","USART2_TX","","LPUART1_TX","COMP2_OUT"
"F4","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","","","TIM2_CH1","",""
"F5","PB0","I/O","","","EVENTOUT","","TIM3_CH3","","","","",""
"F6","PC6","I/O","","","TIM22_CH1","","TIM3_CH1","","","","",""
"F7","PB15","I/O","","","I2S2_SD/SPI2_MOSI","","RTC_REFIN","","","","",""
"F8","PB14","I/O","","","I2S2_MCK/SPI2_MISO","","RTC_OUT_ALARM/RTC_OUT_CALIB","","LPUART1_DE/LPUART1_RTS","I2C2_SDA","TIM21_CH2",""
"G1","VREF+","Power","","","","","","","","","",""
"G2","PA0","I/O","","","","","TIM2_CH1","","USART2_CTS","TIM2_ETR","USART4_TX","COMP1_OUT"
"G3","PA3","I/O","","","TIM21_CH2","","TIM2_CH4","","USART2_RX","","LPUART1_RX",""
"G4","PA6","I/O","","","SPI1_MISO","","TIM3_CH1","","LPUART1_CTS","TIM22_CH1","EVENTOUT","COMP1_OUT"
"G5","PB1","I/O","","","","","TIM3_CH4","","LPUART1_DE/LPUART1_RTS","","",""
"G6","PB2","I/O","","","","","LPTIM1_OUT","","","","","I2C3_SMBA"
"G7","PB10","I/O","","","","","TIM2_CH3","","LPUART1_TX","SPI2_SCK","I2C2_SCL","LPUART1_RX"
"G8","PB13","I/O","","","I2S2_CK/SPI2_SCK","","RCC_MCO","","LPUART1_CTS","I2C2_SCL","TIM21_CH1",""
"H1","VDDA","Power","","","","","","","","","",""
"H2","PA1","I/O","","","EVENTOUT","","TIM2_CH2","","USART2_DE/USART2_RTS","TIM21_ETR","USART4_RX",""
"H3","PA4","I/O","","","SPI1_NSS","","","","USART2_CK","TIM22_ETR","",""
"H4","PA7","I/O","","","SPI1_MOSI","","TIM3_CH2","","","TIM22_CH2","EVENTOUT","COMP2_OUT"
"H5","PC4","I/O","","","EVENTOUT","","LPUART1_TX","","","","",""
"H6","PC5","I/O","","","","","LPUART1_RX","","","","",""
"H7","PB11","I/O","","","EVENTOUT","","TIM2_CH4","","LPUART1_RX","","I2C2_SDA","LPUART1_TX"
"H8","PB12","I/O","","","I2S2_WS/SPI2_NSS","","LPUART1_DE/LPUART1_RTS","","","","EVENTOUT",""
