"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"B9","PC10","I/O","","","SYS_TRACED1","","","","","","","","","TSC_G3_IO2","","LCD_COM4/LCD_SEG28/LCD_SEG40","","",""
"B10","PC12","I/O","","","SYS_TRACED3","","","","","","RCC_LSCO","","","TSC_G3_IO4","","LCD_COM6/LCD_SEG30/LCD_SEG42","","",""
"B11","PD0","I/O","","","","","","","","SPI2_NSS","","","","","","","","",""
"B12","VSS","Power","","","","","","","","","","","","","","","","",""
"B13","PA11","I/O","","","","TIM1_CH4","","","","SPI1_MISO","","USART1_CTS/USART1_NSS","","","USB_DM","","TIM1_BKIN2","",""
"C1","PD13","I/O","","","","","","","","","","","","TSC_G6_IO4","","LCD_SEG33","","","LPTIM2_OUT"
"C2","PD15","I/O","","","","TIM1_CH2","","","","","","","","","","LCD_SEG35","","",""
"C3","PB7","I/O","","","","LPTIM1_IN2","","TIM1_BKIN","I2C1_SDA","","","USART1_RX","","TSC_G2_IO4","","LCD_SEG21","","","TIM17_CH1N"
"C4","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","","USART1_DE/USART1_RTS","","","","LCD_SEG7","","SAI1_SCK_B",""
"C5","PD7","I/O","","","","","","","","","","","","TSC_G5_IO4","QUADSPI_BK1_IO3","LCD_SEG39","","",""
"C6","PD4","I/O","","","","","","","","SPI2_MOSI","","","","TSC_G5_IO1","QUADSPI_BK1_IO0","","","",""
"C7","PD1","I/O","","","","","","","","SPI2_SCK","","","","","","","","",""
"C8","PC11","I/O","","","","","","","","","","","","TSC_G3_IO3","","LCD_COM5/LCD_SEG29/LCD_SEG41","","",""
"C9","PA15","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","","","SPI1_NSS","RCC_MCO","","","TSC_G3_IO1","","LCD_SEG17","","",""
"C10","PA14","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","LCD_SEG5","","SAI1_FS_B",""
"C11","VSS","Power","","","","","","","","","","","","","","","","",""
"C12","PA10","I/O","","","","TIM1_CH3","","SAI1_D1","I2C1_SDA","","","USART1_RX","","","CRS_SYNC","LCD_COM2","","SAI1_SD_A","TIM17_BKIN"
"C13","PC9","I/O","","","","","","TIM1_BKIN","","","","","","TSC_G4_IO4","USB_NOE","LCD_SEG27","","SAI1_SCK_B",""
"D2","VBAT","Power","","","","","","","","","","","","","","","","",""
"D3","PD14","I/O","","","","TIM1_CH1","","","","","","","","","","LCD_SEG34","","",""
"D4","PD9","I/O","","","SYS_TRACED0","","","","","","","","","","","LCD_SEG29","","",""
